Date,Value
1998-12-31,80.233904
1999-01-01,80.232997
1999-01-04,80.591554
1999-01-05,80.785774
1999-01-06,81.712806
1999-01-07,81.871486
1999-01-08,81.843307
1999-01-11,82.249444
1999-01-12,81.333797
1999-01-13,80.439104
1999-01-14,80.235017
1999-01-15,80.413179
1999-01-18,80.694992
1999-01-19,81.129322
1999-01-20,81.156903
1999-01-21,80.630309
1999-01-22,79.942604
1999-01-25,79.941
1999-01-26,80.519871
1999-01-27,80.045652
1999-01-28,79.888093
1999-01-29,80.329786
1999-02-01,80.525115
1999-02-02,80.783407
1999-02-03,80.851656
1999-02-04,80.612222
1999-02-05,80.033634
1999-02-08,79.868199
1999-02-09,78.993379
1999-02-10,78.298392
1999-02-11,79.018921
1999-02-12,78.519593
1999-02-15,78.326089
1999-02-16,77.777216
1999-02-17,76.946465
1999-02-18,76.760751
1999-02-19,76.618547
1999-02-22,77.150694
1999-02-23,77.276594
1999-02-24,76.925395
1999-02-25,76.870905
1999-02-26,76.762411
1999-03-01,76.672398
1999-03-02,76.36731
1999-03-03,76.163414
1999-03-04,76.01794
1999-03-05,77.182442
1999-03-08,77.25157
1999-03-09,77.312447
1999-03-10,78.090106
1999-03-11,78.173059
1999-03-12,78.683544
1999-03-15,79.053488
1999-03-16,79.362172
1999-03-17,79.530792
1999-03-18,79.327074
1999-03-19,79.516272
1999-03-22,79.119486
1999-03-23,78.428826
1999-03-24,78.377018
1999-03-25,79.178103
1999-03-26,78.865859
1999-03-29,79.487386
1999-03-30,79.409606
1999-03-31,79.721626
1999-04-01,80.032761
1999-04-02,79.987512
1999-04-05,80.212268
1999-04-06,80.061191
1999-04-07,80.173809
1999-04-08,80.679652
1999-04-09,81.119222
1999-04-12,81.534336
1999-04-13,81.857503
1999-04-14,82.563235
1999-04-15,82.778051
1999-04-16,83.803113
1999-04-19,83.697967
1999-04-20,83.290415
1999-04-21,83.500912
1999-04-22,84.023542
1999-04-23,84.648413
1999-04-26,84.928488
1999-04-27,85.28347
1999-04-28,85.43363
1999-04-29,85.592184
1999-04-30,85.910154
1999-05-03,86.213877
1999-05-04,86.390983
1999-05-05,86.485185
1999-05-06,87.451263
1999-05-07,87.41976
1999-05-10,88.087618
1999-05-11,88.129803
1999-05-12,88.068722
1999-05-13,87.916359
1999-05-14,87.479482
1999-05-17,86.345814
1999-05-18,86.413247
1999-05-19,86.165189
1999-05-20,86.487493
1999-05-21,86.528008
1999-05-24,86.128502
1999-05-25,85.522108
1999-05-26,85.184548
1999-05-27,84.937044
1999-05-28,85.128521
1999-05-31,84.950874
1999-06-01,85.475079
1999-06-02,85.365623
1999-06-03,85.385341
1999-06-04,85.849769
1999-06-07,86.543586
1999-06-08,86.94618
1999-06-09,87.403438
1999-06-10,87.670442
1999-06-11,87.807876
1999-06-14,87.183607
1999-06-15,87.086891
1999-06-16,87.455069
1999-06-17,88.157121
1999-06-18,88.377879
1999-06-21,88.84338
1999-06-22,88.967633
1999-06-23,88.922441
1999-06-24,88.570271
1999-06-25,88.784913
1999-06-28,89.162595
1999-06-29,89.591945
1999-06-30,89.85842
1999-07-01,90.628699
1999-07-02,91.00194
1999-07-05,91.18586
1999-07-06,91.251373
1999-07-07,90.6898
1999-07-08,90.511187
1999-07-09,91.028398
1999-07-12,91.32259
1999-07-13,91.277972
1999-07-14,91.906533
1999-07-15,92.760614
1999-07-16,92.349975
1999-07-19,92.223397
1999-07-20,92.071279
1999-07-21,92.117943
1999-07-22,91.569947
1999-07-23,90.984337
1999-07-26,90.817975
1999-07-27,90.762289
1999-07-28,91.300822
1999-07-29,91.665155
1999-07-30,92.12212
1999-08-02,91.609258
1999-08-03,91.076449
1999-08-04,91.068645
1999-08-05,90.385327
1999-08-06,90.03427
1999-08-09,89.710601
1999-08-10,89.563455
1999-08-11,89.823673
1999-08-12,90.212238
1999-08-13,90.628581
1999-08-16,91.521027
1999-08-17,91.577887
1999-08-18,91.946016
1999-08-19,92.195297
1999-08-20,92.642561
1999-08-23,92.878583
1999-08-24,92.68743
1999-08-25,92.860279
1999-08-26,92.282044
1999-08-27,92.115073
1999-08-30,92.134894
1999-08-31,92.475132
1999-09-01,93.276252
1999-09-02,93.09217
1999-09-03,93.493682
1999-09-06,93.884497
1999-09-07,94.012429
1999-09-08,93.665049
1999-09-09,94.58409
1999-09-10,95.032936
1999-09-13,95.421962
1999-09-14,95.131247
1999-09-15,94.843724
1999-09-16,93.437859
1999-09-17,93.516411
1999-09-20,93.505612
1999-09-21,93.256746
1999-09-22,92.624495
1999-09-23,91.861044
1999-09-24,90.617981
1999-09-27,90.835139
1999-09-28,91.064434
1999-09-29,91.191735
1999-09-30,92.324434
1999-10-01,92.616643
1999-10-04,92.64663
1999-10-05,92.346549
1999-10-06,92.376483
1999-10-07,92.720502
1999-10-08,92.437984
1999-10-11,92.929976
1999-10-12,92.548617
1999-10-13,91.413401
1999-10-14,91.486313
1999-10-15,90.893386
1999-10-18,89.188368
1999-10-19,89.160621
1999-10-20,89.886544
1999-10-21,89.70057
1999-10-22,90.126383
1999-10-25,90.393916
1999-10-26,90.007046
1999-10-27,89.929193
1999-10-28,90.242216
1999-10-29,91.213519
1999-11-01,91.573528
1999-11-02,92.006202
1999-11-03,92.465911
1999-11-04,93.006148
1999-11-05,92.73577
1999-11-08,92.863593
1999-11-09,93.322306
1999-11-10,93.922992
1999-11-11,93.299151
1999-11-12,93.123963
1999-11-15,93.443353
1999-11-16,93.62014
1999-11-17,94.778446
1999-11-18,95.53246
1999-11-19,95.38691
1999-11-22,95.878408
1999-11-23,95.400534
1999-11-24,94.96832
1999-11-25,94.79697
1999-11-26,95.612399
1999-11-29,95.622745
1999-11-30,95.148094
1999-12-01,95.14603
1999-12-02,95.722393
1999-12-03,96.462591
1999-12-06,97.069191
1999-12-07,97.491319
1999-12-08,97.603337
1999-12-09,97.173482
1999-12-10,97.582926
1999-12-13,97.938113
1999-12-14,96.86991
1999-12-15,96.265325
1999-12-16,97.125325
1999-12-17,96.928983
1999-12-20,96.904813
1999-12-21,97.349172
1999-12-22,98.131788
1999-12-23,98.813833
1999-12-24,99.107451
1999-12-27,99.327874
1999-12-28,99.333343
1999-12-29,100.571587
1999-12-30,100.816255
1999-12-31,101.874701
2000-01-03,101.799827
2000-01-04,99.521951
2000-01-05,98.820763
2000-01-06,98.493439
2000-01-07,99.974195
2000-01-10,101.744049
2000-01-11,101.532352
2000-01-12,100.864988
2000-01-13,102.727184
2000-01-14,103.402247
2000-01-17,104.47796
2000-01-18,105.083281
2000-01-19,105.18513
2000-01-20,106.28418
2000-01-21,106.522393
2000-01-24,105.391408
2000-01-25,104.544864
2000-01-26,104.563209
2000-01-27,104.434141
2000-01-28,102.553506
2000-01-31,101.125847
2000-02-01,101.780111
2000-02-02,102.364091
2000-02-03,104.171355
2000-02-04,104.861969
2000-02-07,105.769607
2000-02-08,106.683881
2000-02-09,107.18141
2000-02-10,107.947261
2000-02-11,107.722546
2000-02-14,107.648728
2000-02-15,107.24863
2000-02-16,108.356788
2000-02-17,109.752986
2000-02-18,108.463248
2000-02-21,108.060816
2000-02-22,107.575603
2000-02-23,108.904505
2000-02-24,109.428775
2000-02-25,110.333447
2000-02-28,110.710463
2000-02-29,113.39197
2000-03-01,115.055671
2000-03-02,114.646307
2000-03-03,116.307478
2000-03-06,116.49918
2000-03-07,115.81167
2000-03-08,115.331221
2000-03-09,117.218227
2000-03-10,117.360362
2000-03-13,114.895185
2000-03-14,112.603115
2000-03-15,110.302634
2000-03-16,112.009557
2000-03-17,112.551327
2000-03-20,110.343129
2000-03-21,110.185779
2000-03-22,112.079086
2000-03-23,112.205074
2000-03-24,112.58353
2000-03-27,113.024524
2000-03-28,112.120695
2000-03-29,110.274812
2000-03-30,108.196298
2000-03-31,109.355456
2000-04-03,107.516941
2000-04-04,105.369796
2000-04-05,105.763364
2000-04-06,106.794416
2000-04-07,107.60044
2000-04-10,106.470717
2000-04-11,105.421992
2000-04-12,104.666166
2000-04-13,103.65077
2000-04-14,100.775684
2000-04-17,97.708572
2000-04-18,99.980008
2000-04-19,100.720213
2000-04-20,100.98501
2000-04-21,100.583009
2000-04-24,100.092028
2000-04-25,101.120076
2000-04-26,101.251075
2000-04-27,101.040542
2000-04-28,101.623102
2000-05-01,102.608097
2000-05-02,102.796158
2000-05-03,101.544548
2000-05-04,102.173815
2000-05-05,102.932079
2000-05-08,102.391902
2000-05-09,101.769054
2000-05-10,100.601308
2000-05-11,100.999585
2000-05-12,101.829137
2000-05-15,102.771534
2000-05-16,103.231376
2000-05-17,102.364192
2000-05-18,101.654711
2000-05-19,100.793125
2000-05-22,99.589783
2000-05-23,99.023739
2000-05-24,98.093086
2000-05-25,98.142921
2000-05-26,98.431565
2000-05-29,98.773043
2000-05-30,100.021574
2000-05-31,99.884818
2000-06-01,101.007705
2000-06-02,103.10532
2000-06-05,103.734783
2000-06-06,104.733857
2000-06-07,105.044969
2000-06-08,104.922946
2000-06-09,105.319652
2000-06-12,105.352985
2000-06-13,105.585216
2000-06-14,105.54202
2000-06-15,104.969492
2000-06-16,105.17826
2000-06-19,105.370678
2000-06-20,105.702973
2000-06-21,105.427504
2000-06-22,104.742978
2000-06-23,104.18006
2000-06-26,104.541009
2000-06-27,105.061728
2000-06-28,106.255676
2000-06-29,106.605759
2000-06-30,107.419463
2000-07-03,108.260952
2000-07-04,107.982665
2000-07-05,107.305201
2000-07-06,107.354844
2000-07-07,107.826802
2000-07-10,108.459545
2000-07-11,108.805942
2000-07-12,109.139813
2000-07-13,108.579386
2000-07-14,108.778629
2000-07-17,108.748645
2000-07-18,107.77483
2000-07-19,106.898739
2000-07-20,107.524232
2000-07-21,106.535927
2000-07-24,105.35227
2000-07-25,105.674143
2000-07-26,105.456626
2000-07-27,104.272019
2000-07-28,102.365148
2000-07-31,102.552308
2000-08-01,103.194587
2000-08-02,103.53897
2000-08-03,103.068946
2000-08-04,103.814418
2000-08-07,104.429524
2000-08-08,104.230025
2000-08-09,104.767035
2000-08-10,104.898391
2000-08-11,105.972259
2000-08-14,106.305822
2000-08-15,106.536363
2000-08-16,107.16526
2000-08-17,107.41821
2000-08-18,107.451584
2000-08-21,107.364467
2000-08-22,107.763877
2000-08-23,107.702054
2000-08-24,108.743862
2000-08-25,109.29083
2000-08-28,109.146423
2000-08-29,109.331682
2000-08-30,109.271194
2000-08-31,109.663036
2000-09-01,110.407591
2000-09-04,110.480916
2000-09-05,109.774182
2000-09-06,109.38979
2000-09-07,109.814803
2000-09-08,109.075024
2000-09-11,108.529311
2000-09-12,107.836455
2000-09-13,107.856591
2000-09-14,108.199701
2000-09-15,107.908759
2000-09-18,106.251727
2000-09-19,106.3292
2000-09-20,106.557928
2000-09-21,105.891877
2000-09-22,105.773576
2000-09-25,105.847799
2000-09-26,105.480327
2000-09-27,104.95637
2000-09-28,105.631718
2000-09-29,106.291324
2000-10-02,105.663741
2000-10-03,104.911984
2000-10-04,104.7372
2000-10-05,104.282288
2000-10-06,103.293442
2000-10-09,102.628292
2000-10-10,101.900319
2000-10-11,101.082616
2000-10-12,99.562952
2000-10-13,100.169367
2000-10-16,100.147545
2000-10-17,98.851315
2000-10-18,97.736101
2000-10-19,98.923449
2000-10-20,100.08975
2000-10-23,100.296491
2000-10-24,100.343374
2000-10-25,98.910036
2000-10-26,99.070879
2000-10-27,99.479536
2000-10-30,99.795912
2000-10-31,101.267296
2000-11-01,102.096028
2000-11-02,103.204145
2000-11-03,103.858757
2000-11-06,104.147627
2000-11-07,104.295775
2000-11-08,103.645976
2000-11-09,102.841819
2000-11-10,101.482933
2000-11-13,100.370713
2000-11-14,101.613032
2000-11-15,102.173009
2000-11-16,100.838989
2000-11-17,100.806989
2000-11-20,99.191151
2000-11-21,98.278445
2000-11-22,97.223894
2000-11-23,97.138753
2000-11-24,98.3701
2000-11-27,98.985333
2000-11-28,97.802207
2000-11-29,97.103301
2000-11-30,96.359207
2000-12-01,97.897447
2000-12-04,97.992957
2000-12-05,99.138727
2000-12-06,98.864394
2000-12-07,98.709427
2000-12-08,99.944476
2000-12-11,100.793982
2000-12-12,99.965555
2000-12-13,99.289502
2000-12-14,98.704002
2000-12-15,98.116908
2000-12-18,98.12437
2000-12-19,97.121636
2000-12-20,95.50099
2000-12-21,95.454683
2000-12-22,97.150322
2000-12-25,97.71113
2000-12-26,98.022121
2000-12-27,99.023594
2000-12-28,99.897584
2000-12-29,100
2001-01-01,100
2001-01-02,98.884189
2001-01-03,99.860051
2001-01-04,99.449681
2001-01-05,99.011103
2001-01-08,98.92065
2001-01-09,98.274003
2001-01-10,98.785307
2001-01-11,99.125857
2001-01-12,99.605427
2001-01-15,99.66806
2001-01-16,100.554055
2001-01-17,100.593269
2001-01-18,101.502139
2001-01-19,101.438919
2001-01-22,101.617566
2001-01-23,102.551658
2001-01-24,101.827981
2001-01-25,102.113659
2001-01-26,101.91516
2001-01-29,102.71227
2001-01-30,103.254752
2001-01-31,103.70653
2001-02-01,104.679923
2001-02-02,104.068867
2001-02-05,104.154463
2001-02-06,104.129816
2001-02-07,104.035379
2001-02-08,103.061986
2001-02-09,102.60978
2001-02-12,103.5151
2001-02-13,103.401598
2001-02-14,103.282145
2001-02-15,103.406996
2001-02-16,102.973734
2001-02-19,102.789633
2001-02-20,102.195435
2001-02-21,101.147592
2001-02-22,100.106402
2001-02-23,100.386347
2001-02-26,101.454552
2001-02-27,101.390871
2001-02-28,100.687812
2001-03-01,100.546464
2001-03-02,100.554336
2001-03-05,100.447478
2001-03-06,101.484538
2001-03-07,101.734219
2001-03-08,101.871921
2001-03-09,101.212561
2001-03-12,98.867121
2001-03-13,97.768943
2001-03-14,96.291734
2001-03-15,95.960502
2001-03-16,94.508151
2001-03-19,94.985339
2001-03-20,94.702401
2001-03-21,94.112085
2001-03-22,92.005531
2001-03-23,93.976164
2001-03-26,95.399842
2001-03-27,96.040939
2001-03-28,95.287828
2001-03-29,94.478891
2001-03-30,95.11581
2001-04-02,94.027372
2001-04-03,92.976403
2001-04-04,93.496916
2001-04-05,95.607302
2001-04-06,95.238002
2001-04-09,95.464856
2001-04-10,96.233687
2001-04-11,96.439024
2001-04-12,97.614468
2001-04-13,97.75366
2001-04-16,97.179318
2001-04-17,97.470049
2001-04-18,98.51222
2001-04-19,99.753019
2001-04-20,99.765984
2001-04-23,99.458915
2001-04-24,99.815296
2001-04-25,100.952326
2001-04-26,101.862984
2001-04-27,102.111601
2001-04-30,102.610441
2001-05-01,103.966996
2001-05-02,104.215065
2001-05-03,104.176389
2001-05-04,104.626475
2001-05-07,104.344073
2001-05-08,103.918564
2001-05-09,103.488502
2001-05-10,103.748996
2001-05-11,103.322617
2001-05-14,102.791154
2001-05-15,103.253765
2001-05-16,103.631446
2001-05-17,104.763425
2001-05-18,104.790298
2001-05-21,105.879569
2001-05-22,105.903011
2001-05-23,105.45307
2001-05-24,105.467886
2001-05-25,105.337379
2001-05-28,105.249616
2001-05-29,104.890175
2001-05-30,103.847173
2001-05-31,103.716814
2001-06-01,104.236431
2001-06-04,104.78128
2001-06-05,105.431926
2001-06-06,105.031709
2001-06-07,105.489651
2001-06-08,105.299679
2001-06-11,104.589133
2001-06-12,103.946578
2001-06-13,104.204599
2001-06-14,103.563082
2001-06-15,102.946736
2001-06-18,102.184737
2001-06-19,101.873793
2001-06-20,101.467144
2001-06-21,101.941647
2001-06-22,101.734872
2001-06-25,101.789235
2001-06-26,102.304934
2001-06-27,102.191356
2001-06-28,101.909611
2001-06-29,103.455268
2001-07-02,102.414447
2001-07-03,102.355058
2001-07-04,102.062176
2001-07-05,101.331221
2001-07-06,100.210895
2001-07-09,99.884078
2001-07-10,100.064447
2001-07-11,99.710684
2001-07-12,100.677574
2001-07-13,100.846306
2001-07-16,100.387059
2001-07-17,100.324205
2001-07-18,100.487149
2001-07-19,101.018477
2001-07-20,101.110524
2001-07-23,99.752096
2001-07-24,99.351759
2001-07-25,99.503653
2001-07-26,99.961531
2001-07-27,100.058376
2001-07-30,99.616797
2001-07-31,100.016043
2001-08-01,100.75852
2001-08-02,101.638988
2001-08-03,101.493242
2001-08-06,100.884281
2001-08-07,100.712657
2001-08-08,100.121151
2001-08-09,99.964563
2001-08-10,100.437652
2001-08-13,100.335378
2001-08-14,101.024876
2001-08-15,101.957156
2001-08-16,102.123807
2001-08-17,101.690727
2001-08-20,101.244484
2001-08-21,101.184856
2001-08-22,101.99546
2001-08-23,101.280036
2001-08-24,101.750733
2001-08-27,101.679238
2001-08-28,101.062346
2001-08-29,100.973541
2001-08-30,100.132304
2001-08-31,99.799468
2001-09-03,98.993124
2001-09-04,98.747741
2001-09-05,97.866421
2001-09-06,96.983612
2001-09-07,96.173805
2001-09-10,94.146319
2001-09-11,93.353794
2001-09-12,91.2533
2001-09-13,91.814889
2001-09-14,92.018673
2001-09-17,88.299501
2001-09-18,87.901176
2001-09-19,87.408957
2001-09-20,84.825679
2001-09-21,82.410818
2001-09-24,84.111179
2001-09-25,85.219915
2001-09-26,84.988764
2001-09-27,84.97045
2001-09-28,86.699871
2001-10-01,86.013164
2001-10-02,86.615345
2001-10-03,88.138606
2001-10-04,89.475279
2001-10-05,89.304364
2001-10-08,88.758554
2001-10-09,88.436881
2001-10-10,89.94383
2001-10-11,91.998657
2001-10-12,91.995308
2001-10-15,92.044437
2001-10-16,93.024562
2001-10-17,92.341935
2001-10-18,91.32427
2001-10-19,91.462142
2001-10-22,92.048756
2001-10-23,92.178512
2001-10-24,92.590283
2001-10-25,93.974884
2001-10-26,94.405335
2001-10-29,93.534687
2001-10-30,92.014863
2001-10-31,92.494668
2001-11-01,93.438063
2001-11-02,93.34635
2001-11-05,93.961722
2001-11-06,94.919639
2001-11-07,95.017646
2001-11-08,95.002668
2001-11-09,94.633639
2001-11-12,94.535613
2001-11-13,95.554134
2001-11-14,96.415408
2001-11-15,96.193966
2001-11-16,96.657234
2001-11-19,97.896533
2001-11-20,97.264418
2001-11-21,96.801182
2001-11-22,96.968821
2001-11-23,97.55892
2001-11-26,98.46753
2001-11-27,98.51514
2001-11-28,97.298045
2001-11-29,98.094975
2001-11-30,98.313587
2001-12-03,97.265692
2001-12-04,98.646832
2001-12-05,100.780698
2001-12-06,101.483103
2001-12-07,101.183264
2001-12-10,100.053833
2001-12-11,99.909344
2001-12-12,100.147135
2001-12-13,98.871089
2001-12-14,98.716798
2001-12-17,99.291733
2001-12-18,99.715454
2001-12-19,99.049936
2001-12-20,98.153069
2001-12-21,98.963738
2001-12-24,99.109071
2001-12-25,99.137642
2001-12-26,99.604618
2001-12-27,100.527249
2001-12-28,101.106694
2001-12-31,100.826952
2002-01-01,100.827401
2002-01-02,101.05356
2002-01-03,102.255886
2002-01-04,103.1663
2002-01-07,102.691781
2002-01-08,102.597137
2002-01-09,102.332136
2002-01-10,102.161808
2002-01-11,101.488496
2002-01-14,100.404793
2002-01-15,100.276554
2002-01-16,98.776931
2002-01-17,99.155981
