Date,Value
1998-12-31,91.948347
1999-01-01,91.948373
1999-01-04,93.673135
1999-01-05,93.317031
1999-01-06,93.545188
1999-01-07,92.736409
1999-01-08,92.096579
1999-01-11,91.877464
1999-01-12,91.506814
1999-01-13,90.262205
1999-01-14,90.658092
1999-01-15,89.573321
1999-01-18,90.23794
1999-01-19,90.399674
1999-01-20,89.675475
1999-01-21,89.420583
1999-01-22,88.517392
1999-01-25,88.543304
1999-01-26,89.006505
1999-01-27,89.067674
1999-01-28,88.895181
1999-01-29,88.907721
1999-02-01,89.267153
1999-02-02,90.141443
1999-02-03,90.165763
1999-02-04,90.551186
1999-02-05,90.563463
1999-02-08,90.361058
1999-02-09,90.398992
1999-02-10,89.64283
1999-02-11,89.625837
1999-02-12,89.896922
1999-02-15,89.485993
1999-02-16,89.322698
1999-02-17,89.201692
1999-02-18,88.924124
1999-02-19,88.414776
1999-02-22,88.353695
1999-02-23,88.074096
1999-02-24,88.019592
1999-02-25,88.475084
1999-02-26,87.969962
1999-03-01,87.737469
1999-03-02,87.660314
1999-03-03,87.661737
1999-03-04,87.031794
1999-03-05,88.031995
1999-03-08,88.087725
1999-03-09,88.086494
1999-03-10,88.575274
1999-03-11,88.52675
1999-03-12,89.694296
1999-03-15,89.650155
1999-03-16,89.64748
1999-03-17,90.172608
1999-03-18,90.052465
1999-03-19,90.31337
1999-03-22,90.262589
1999-03-23,90.139823
1999-03-24,89.795108
1999-03-25,89.773695
1999-03-26,88.737705
1999-03-29,88.911326
1999-03-30,88.91005
1999-03-31,89.502881
1999-04-01,89.557732
1999-04-02,89.395884
1999-04-05,88.95827
1999-04-06,89.150446
1999-04-07,89.676268
1999-04-08,90.392884
1999-04-09,90.185702
1999-04-12,90.739994
1999-04-13,90.897557
1999-04-14,91.557258
1999-04-15,91.530741
1999-04-16,92.248888
1999-04-19,92.540012
1999-04-20,92.157043
1999-04-21,91.98387
1999-04-22,92.436199
1999-04-23,93.199863
1999-04-26,93.324766
1999-04-27,94.153506
1999-04-28,94.111142
1999-04-29,94.182363
1999-04-30,94.71109
1999-05-03,94.838856
1999-05-04,95.609449
1999-05-05,95.841074
1999-05-06,96.980496
1999-05-07,97.199607
1999-05-10,97.427277
1999-05-11,96.996853
1999-05-12,96.180855
1999-05-13,95.916363
1999-05-14,95.880132
1999-05-17,94.88344
1999-05-18,94.846917
1999-05-19,94.980991
1999-05-20,95.168371
1999-05-21,94.545099
1999-05-24,94.569022
1999-05-25,94.348728
1999-05-26,93.490103
1999-05-27,93.116785
1999-05-28,92.880783
1999-05-31,92.927534
1999-06-01,93.505479
1999-06-02,92.817151
1999-06-03,92.84057
1999-06-04,92.901545
1999-06-07,93.319272
1999-06-08,94.358768
1999-06-09,94.425797
1999-06-10,94.586008
1999-06-11,95.010314
1999-06-14,94.377567
1999-06-15,94.060252
1999-06-16,93.593657
1999-06-17,93.88215
1999-06-18,94.791171
1999-06-21,94.55922
1999-06-22,94.280764
