Date,Value
1997-01-01,1554.839222
1997-01-02,1543.121139
1997-01-03,1555.07708
1997-01-06,1557.34256
1997-01-07,1564.729986
1997-01-08,1564.831689
1997-01-09,1570.766741
1997-01-10,1571.981835
1997-01-13,1573.13919
1997-01-14,1580.709897
1997-01-15,1580.041206
1997-01-16,1578.083169
1997-01-17,1585.313659
1997-01-20,1591.586472
1997-01-21,1595.529352
1997-01-22,1597.540487
1997-01-23,1596.819477
1997-01-24,1586.400731
1997-01-27,1577.898354
1997-01-28,1582.2469
1997-01-29,1581.910342
1997-01-30,1590.17141
1997-01-31,1593.927258
1997-02-03,1597.013732
1997-02-04,1592.832175
1997-02-05,1583.425486
1997-02-06,1583.368648
1997-02-07,1587.450539
1997-02-10,1580.835809
1997-02-11,1578.092171
1997-02-12,1587.41147
1997-02-13,1600.293582
1997-02-14,1604.181061
1997-02-17,1604.181061
1997-02-18,1609.492599
1997-02-19,1610.462977
1997-02-20,1600.929575
1997-02-21,1598.928619
1997-02-24,1601.765788
1997-02-25,1603.646515
1997-02-26,1593.705666
1997-02-27,1585.976815
1997-02-28,1581.666411
1997-03-03,1585.173262
1997-03-04,1591.286423
1997-03-05,1600.173901
1997-03-06,1600.246057
1997-03-07,1607.232848
1997-03-10,1613.353348
1997-03-11,1616.851399
1997-03-12,1606.986884
1997-03-13,1589.559425
1997-03-14,1590.376387
1997-03-17,1579.038266
1997-03-18,1570.620509
1997-03-19,1561.17388
1997-03-20,1562.163314
1997-03-21,1559.50702
1997-03-24,1551.645832
1997-03-25,1553.833788
1997-03-26,1558.418578
1997-03-27,1544.92698
1997-03-28,1544.92698
1997-03-31,1521.938766
1997-04-01,1516.992349
1997-04-02,1505.57086
1997-04-03,1499.111709
1997-04-04,1513.271885
1997-04-07,1528.353188
1997-04-08,1531.090826
1997-04-09,1535.472116
1997-04-10,1531.868926
1997-04-11,1508.792972
1997-04-14,1506.438791
1997-04-15,1515.799333
1997-04-16,1516.195876
1997-04-17,1517.559881
1997-04-18,1523.449642
1997-04-21,1509.008029
1997-04-22,1508.54671
1997-04-23,1507.550404
1997-04-24,1508.820994
1997-04-25,1498.787095
1997-04-28,1501.064286
1997-04-29,1516.692259
1997-04-30,1525.727608
1997-05-01,1535.490852
1997-05-02,1568.478739
1997-05-05,1598.85353
1997-05-06,1596.899687
1997-05-07,1591.566254
1997-05-08,1591.004748
1997-05-09,1596.747905
1997-05-12,1608.48884
1997-05-13,1608.224243
1997-05-14,1613.830445
1997-05-15,1618.184226
1997-05-16,1616.212692
1997-05-19,1622.313433
1997-05-20,1627.959363
1997-05-21,1634.824805
1997-05-22,1640.882688
1997-05-23,1657.719099
1997-05-26,1657.719099
1997-05-27,1661.811428
1997-05-28,1665.144537
1997-05-29,1669.168267
1997-05-30,1678.586706
1997-06-02,1689.556597
1997-06-03,1692.482826
1997-06-04,1693.007966
1997-06-05,1700.912946
1997-06-06,1710.948724
1997-06-09,1717.483329
1997-06-10,1717.559411
1997-06-11,1722.698168
1997-06-12,1732.118556
1997-06-13,1740.897686
1997-06-16,1740.719416
1997-06-17,1743.598422
1997-06-18,1744.628925
1997-06-19,1760.397308
1997-06-20,1754.305509
1997-06-23,1743.329339
1997-06-24,1756.54036
1997-06-25,1753.850978
1997-06-26,1751.507577
1997-06-27,1762.834483
1997-06-30,1784.839386
1997-07-01,1783.564261
1997-07-02,1786.801318
1997-07-03,1794.093433
1997-07-04,1794.093433
1997-07-07,1795.349239
1997-07-08,1801.564251
1997-07-09,1798.506972
1997-07-10,1808.610485
1997-07-11,1820.042752
1997-07-14,1825.529169
1997-07-15,1834.789618
1997-07-16,1850.09188
1997-07-17,1845.264537
1997-07-18,1837.492715
1997-07-21,1826.75154
1997-07-22,1838.17166
1997-07-23,1845.539515
1997-07-24,1848.296612
1997-07-25,1851.289723
1997-07-28,1852.038191
1997-07-29,1857.457761
1997-07-30,1874.377318
1997-07-31,1880.698839
1997-08-01,1878.862501
1997-08-04,1883.854638
1997-08-05,1896.161338
1997-08-06,1907.561621
1997-08-07,1908.244035
1997-08-08,1883.971026
1997-08-11,1880.720497
1997-08-12,1877.875083
1997-08-13,1878.053618
1997-08-14,1880.449262
1997-08-15,1864.972777
1997-08-18,1864.417762
1997-08-19,1885.204928
1997-08-20,1905.122028
1997-08-21,1897.120409
1997-08-22,1890.959606
1997-08-25,1900.724161
1997-08-26,1901.962865
1997-08-27,1914.224829
1997-08-28,1918.563527
1997-08-29,1925.449355
1997-09-01,1925.449355
1997-09-02,1945.849057
1997-09-03,1950.351429
1997-09-04,1954.800397
1997-09-05,1966.658974
1997-09-08,1979.141331
1997-09-09,1989.029013
1997-09-10,1988.723601
1997-09-11,1986.128
1997-09-12,2003.65953
1997-09-15,2006.44731
1997-09-16,2028.017658
1997-09-17,2033.146734
1997-09-18,2036.687686
1997-09-19,2038.212365
1997-09-22,2045.846134
1997-09-23,2049.856878
1997-09-24,2048.761989
1997-09-25,2044.768348
1997-09-26,2052.077322
1997-09-29,2061.287484
1997-09-30,2072.686751
1997-10-01,2079.629588
1997-10-02,2089.736362
1997-10-03,2098.736042
1997-10-06,2109.63766
1997-10-07,2116.989921
1997-10-08,2115.062592
1997-10-09,2117.979187
1997-10-10,2121.273323
1997-10-13,2125.170822
1997-10-14,2121.655417
1997-10-15,2117.150772
1997-10-16,2095.931939
1997-10-17,2062.615548
1997-10-20,2080.164433
1997-10-21,2101.534603
1997-10-22,2100.254903
1997-10-23,2063.340263
1997-10-24,2059.894384
1997-10-27,1946.563217
1997-10-28,1982.855363
1997-10-29,2004.614005
1997-10-30,1979.613842
1997-10-31,2000.487498
1997-11-03,2032.254805
1997-11-04,2035.928161
1997-11-05,2045.731644
1997-11-06,2040.003913
1997-11-07,2008.546311
1997-11-10,2011.453885
1997-11-11,2006.040751
1997-11-12,1969.499759
1997-11-13,1966.880281
1997-11-14,1982.399341
1997-11-17,2013.293825
1997-11-18,2001.676968
1997-11-19,1998.804293
1997-11-20,2017.534798
1997-11-21,2016.427173
1997-11-24,1987.70883
1997-11-25,1983.857987
1997-11-26,1991.303744
1997-11-27,1991.303744
1997-11-28,1999.163894
1997-12-01,2016.738126
1997-12-02,2011.215086
1997-12-03,2015.034476
1997-12-04,2017.588208
1997-12-05,2028.756062
1997-12-08,2043.21595
1997-12-09,2030.204069
1997-12-10,2007.703038
1997-12-11,1976.141096
1997-12-12,1970.530804
1997-12-15,1965.34982
1997-12-16,1978.171728
1997-12-17,1983.037035
1997-12-18,1960.41341
1997-12-19,1955.208658
1997-12-22,1966.907935
1997-12-23,1966.640595
1997-12-24,1963.483872
1997-12-25,1963.483872
1997-12-26,1965.380838
1997-12-29,1984.363324
1997-12-30,2014.455367
1997-12-31,2028.671719
1998-01-01,2028.671719
1998-01-02,2029.124932
1998-01-05,2032.471763
1998-01-06,2016.236826
1998-01-07,2003.197456
1998-01-08,1990.237592
1998-01-09,1939.164076
1998-01-12,1930.395451
1998-01-13,1955.699594
1998-01-14,1968.455495
1998-01-15,1965.602818
1998-01-16,1985.746658
1998-01-19,1985.746658
1998-01-20,2003.806153
1998-01-21,1996.538789
1998-01-22,1984.37255
1998-01-23,1976.967765
1998-01-26,1964.460619
1998-01-27,1969.532412
1998-01-28,1992.368841
1998-01-29,2006.062147
1998-01-30,2001.505337
1998-02-02,2018.471123
1998-02-03,2032.81513
1998-02-04,2047.840222
1998-02-05,2057.255197
1998-02-06,2065.650218
1998-02-09,2074.677724
1998-02-10,2093.31127
1998-02-11,2099.907337
1998-02-12,2101.854644
1998-02-13,2108.07191
1998-02-16,2108.07191
1998-02-17,2108.399616
1998-02-18,2114.753566
1998-02-19,2115.030426
1998-02-20,2115.400786
1998-02-23,2126.324284
1998-02-24,2121.121585
1998-02-25,2139.187504
1998-02-26,2149.897354
1998-02-27,2151.091934
1998-03-02,2153.217932
1998-03-03,2158.176403
1998-03-04,2157.690062
1998-03-05,2135.82508
1998-03-06,2164.463891
1998-03-09,2157.302205
1998-03-10,2174.048662
1998-03-11,2184.75481
