Date,Value
1997-01-01,422.172073
1997-01-02,419.165624
1997-01-03,421.590504
1997-01-06,423.00708
1997-01-07,424.075608
1997-01-08,422.742448
1997-01-09,422.240323
1997-01-10,420.28665
1997-01-13,422.857999
1997-01-14,425.756644
1997-01-15,426.409125
1997-01-16,428.449063
1997-01-17,428.926511
1997-01-20,427.289174
1997-01-21,427.288726
1997-01-22,428.957239
1997-01-23,426.765196
1997-01-24,423.935571
1997-01-27,420.554324
1997-01-28,420.17314
1997-01-29,421.504713
1997-01-30,423.794706
1997-01-31,426.649283
1997-02-03,426.486926
1997-02-04,427.307043
1997-02-05,424.521395
1997-02-06,424.721858
1997-02-07,425.669744
1997-02-10,427.218245
1997-02-11,427.34574
1997-02-12,430.589663
1997-02-13,433.213066
1997-02-14,433.525298
1997-02-17,433.273384
1997-02-18,434.142539
1997-02-19,433.823848
1997-02-20,433.609495
1997-02-21,434.149375
1997-02-24,437.011052
1997-02-25,438.662271
1997-02-26,435.719506
1997-02-27,433.403171
1997-02-28,430.983876
1997-03-03,430.640826
1997-03-04,430.670107
1997-03-05,432.471018
1997-03-06,432.039412
1997-03-07,433.663739
1997-03-10,436.786477
1997-03-11,437.083053
1997-03-12,433.631703
1997-03-13,428.969268
1997-03-14,429.512518
1997-03-17,428.507058
1997-03-18,427.710897
1997-03-19,426.554118
1997-03-20,423.771822
1997-03-21,425.765125
1997-03-24,425.476376
1997-03-25,426.895315
1997-03-26,428.799384
1997-03-27,425.86721
1997-03-28,425.635687
1997-03-31,421.234063
1997-04-01,418.299124
1997-04-02,416.836405
1997-04-03,415.810868
1997-04-04,416.88277
1997-04-07,416.939124
1997-04-08,418.038129
1997-04-09,416.594992
1997-04-10,414.822194
1997-04-11,409.983409
1997-04-14,409.20118
1997-04-15,412.987565
1997-04-16,415.885201
1997-04-17,416.624006
1997-04-18,418.639621
1997-04-21,418.988075
1997-04-22,421.08592
1997-04-23,422.615377
1997-04-24,422.115383
1997-04-25,419.052209
1997-04-28,419.926435
1997-04-29,425.529424
1997-04-30,429.117095
1997-05-01,430.84635
1997-05-02,435.092768
1997-05-05,439.889134
1997-05-06,443.736947
1997-05-07,441.663313
1997-05-08,443.357848
1997-05-09,446.166892
1997-05-12,451.922196
1997-05-13,451.964155
1997-05-14,453.745042
1997-05-15,455.557287
1997-05-16,455.463153
1997-05-19,455.225808
1997-05-20,458.607848
1997-05-21,458.316578
1997-05-22,456.220967
1997-05-23,460.258227
1997-05-26,460.367977
1997-05-27,459.737581
1997-05-28,460.724819
1997-05-29,459.785997
1997-05-30,458.577828
1997-06-02,459.70215
1997-06-03,460.413719
1997-06-04,459.865894
1997-06-05,461.651683
1997-06-06,465.294702
1997-06-09,469.176953
1997-06-10,469.982725
1997-06-11,471.799929
1997-06-12,474.290607
1997-06-13,476.589453
1997-06-16,478.840511
1997-06-17,477.773439
1997-06-18,477.189871
1997-06-19,479.648585
1997-06-20,479.595668
1997-06-23,475.95244
1997-06-24,479.851348
1997-06-25,481.885767
1997-06-26,481.194096
1997-06-27,480.248897
1997-06-30,479.84304
1997-07-01,481.799735
1997-07-02,484.983456
1997-07-03,490.417902
1997-07-04,490.047898
1997-07-07,490.239276
1997-07-08,491.182165
1997-07-09,488.923411
1997-07-10,490.059479
1997-07-11,491.003402
1997-07-14,491.972782
1997-07-15,490.818513
1997-07-16,496.231823
1997-07-17,495.317519
1997-07-18,490.115013
1997-07-21,487.315276
1997-07-22,492.776982
1997-07-23,495.140124
1997-07-24,495.268979
1997-07-25,494.567851
1997-07-28,493.693415
1997-07-29,494.982772
1997-07-30,497.573001
1997-07-31,498.662788
1997-08-01,494.558691
1997-08-04,492.881217
1997-08-05,492.168443
1997-08-06,496.214933
1997-08-07,495.006638
1997-08-08,492.08573
1997-08-11,489.392032
1997-08-12,487.77995
1997-08-13,486.661746
1997-08-14,485.282977
1997-08-15,481.052713
1997-08-18,479.617781
1997-08-19,483.199336
1997-08-20,487.50686
1997-08-21,485.474659
1997-08-22,481.75184
1997-08-25,480.573756
1997-08-26,479.453897
1997-08-27,478.154939
1997-08-28,473.802899
1997-08-29,469.434072
1997-09-01,467.260979
1997-09-02,474.180296
1997-09-03,478.211507
1997-09-04,478.583545
1997-09-05,480.970166
1997-09-08,482.040159
1997-09-09,484.038741
1997-09-10,479.683166
1997-09-11,474.689674
1997-09-12,477.031635
1997-09-15,477.827352
1997-09-16,483.042516
1997-09-17,484.158122
1997-09-18,485.5665
1997-09-19,486.536009
1997-09-22,488.217339
1997-09-23,487.74321
1997-09-24,490.016161
1997-09-25,488.611179
1997-09-26,489.7171
1997-09-29,491.570039
1997-09-30,491.880228
1997-10-01,493.741568
1997-10-02,494.951024
1997-10-03,496.935053
1997-10-06,498.892031
1997-10-07,500.727979
1997-10-08,499.759169
1997-10-09,497.150661
1997-10-10,496.223638
1997-10-13,496.53903
1997-10-14,496.047497
1997-10-15,494.840313
1997-10-16,494.108081
1997-10-17,488.014293
1997-10-20,488.228817
1997-10-21,492.970368
1997-10-22,491.829178
1997-10-23,480.166432
1997-10-24,478.066023
1997-10-27,456.467403
1997-10-28,458.368365
1997-10-29,466.075371
1997-10-30,458.706442
1997-10-31,463.041202
1997-11-03,471.685202
1997-11-04,472.563576
1997-11-05,473.110438
1997-11-06,470.876707
1997-11-07,462.279771
1997-11-10,459.906048
1997-11-11,460.180129
1997-11-12,451.02676
1997-11-13,452.593612
1997-11-14,454.027204
1997-11-17,465.213716
1997-11-18,464.648068
1997-11-19,461.327358
1997-11-20,466.923582
1997-11-21,471.33607
1997-11-24,465.09701
1997-11-25,460.915154
1997-11-26,461.456858
1997-11-27,463.513903
1997-11-28,464.555455
1997-12-01,470.407664
1997-12-02,471.238847
1997-12-03,472.149909
1997-12-04,472.114296
1997-12-05,474.271614
1997-12-08,474.722817
1997-12-09,473.162508
1997-12-10,470.514255
1997-12-11,461.855191
1997-12-12,460.585478
1997-12-15,461.774732
1997-12-16,464.281576
1997-12-17,469.095787
1997-12-18,465.452005
1997-12-19,458.528381
1997-12-22,457.436093
1997-12-23,455.873627
1997-12-24,454.586757
1997-12-25,454.6586
1997-12-26,456.101891
1997-12-29,462.658457
1997-12-30,468.685829
1997-12-31,468.996357
1998-01-01,469.004789
1998-01-02,469.437273
1998-01-05,469.773817
1998-01-06,465.26066
1998-01-07,463.710541
1998-01-08,459.815679
1998-01-09,449.924359
1998-01-12,445.243746
1998-01-13,452.079638
1998-01-14,456.57166
1998-01-15,454.857971
1998-01-16,463.137546
1998-01-19,466.329303
1998-01-20,469.97311
1998-01-21,469.66488
1998-01-22,467.76784
1998-01-23,468.42221
1998-01-26,470.160492
1998-01-27,474.272698
1998-01-28,477.60276
