Date,Value
1997-11-28,199.989615
1997-12-01,202.438023
1997-12-02,204.158843
1997-12-03,203.82765
1997-12-04,204.022403
1997-12-05,204.767349
1997-12-08,206.949058
1997-12-09,206.330904
1997-12-10,205.084236
1997-12-11,198.383386
1997-12-12,197.227498
1997-12-15,196.462728
1997-12-16,195.684468
1997-12-17,199.269457
1997-12-18,198.14149
1997-12-19,194.116461
1997-12-22,192.122153
1997-12-23,191.811653
1997-12-24,191.199019
1997-12-25,191.200374
1997-12-26,191.473977
1997-12-29,193.613776
1997-12-30,197.121462
1997-12-31,197.889202
1998-01-01,197.889202
1998-01-02,197.188301
1998-01-05,195.785286
1998-01-06,193.156643
1998-01-07,190.363906
1998-01-08,186.97781
1998-01-09,183.080423
1998-01-12,177.938357
1998-01-13,182.10445
1998-01-14,186.099779
1998-01-15,184.485309
1998-01-16,188.293851
1998-01-19,193.056045
1998-01-20,193.385735
1998-01-21,194.685145
1998-01-22,193.42708
1998-01-23,193.849915
1998-01-26,196.646365
1998-01-27,198.79399
1998-01-28,200.10814
1998-01-29,199.083038
1998-01-30,198.354745
1998-02-02,205.296593
1998-02-03,209.588801
1998-02-04,209.836989
1998-02-05,212.923321
1998-02-06,214.808801
1998-02-09,216.853782
1998-02-10,220.760936
1998-02-11,221.043953
1998-02-12,218.335231
1998-02-13,213.809413
1998-02-16,211.305343
1998-02-17,213.657956
1998-02-18,215.797201
1998-02-19,215.701557
1998-02-20,215.886892
1998-02-23,216.300809
1998-02-24,216.181898
1998-02-25,216.963907
1998-02-26,220.114423
1998-02-27,223.488291
1998-03-02,226.336724
1998-03-03,225.465596
1998-03-04,223.045759
1998-03-05,219.171851
1998-03-06,222.193445
1998-03-09,221.941341
1998-03-10,224.191968
1998-03-11,223.570855
1998-03-12,223.11694
1998-03-13,226.968789
1998-03-16,227.927989
1998-03-17,228.619805
1998-03-18,228.164565
1998-03-19,229.757711
1998-03-20,231.113968
1998-03-23,231.717084
1998-03-24,232.177513
1998-03-25,234.53249
1998-03-26,234.389809
1998-03-27,234.406098
1998-03-30,231.173385
1998-03-31,231.301908
1998-04-01,230.149612
1998-04-02,228.647405
1998-04-03,227.244402
1998-04-06,229.316255
1998-04-07,229.072292
1998-04-08,230.774674
1998-04-09,233.103771
1998-04-10,233.005621
1998-04-13,232.241806
1998-04-14,234.772053
1998-04-15,235.287279
1998-04-16,230.56672
1998-04-17,229.96492
1998-04-20,231.091313
1998-04-21,231.912755
1998-04-22,230.818206
1998-04-23,228.647224
1998-04-24,227.261145
1998-04-27,221.042944
1998-04-28,222.174812
1998-04-29,222.30157
1998-04-30,225.183599
1998-05-01,227.513585
1998-05-04,228.97449
1998-05-05,227.592381
1998-05-06,227.088549
1998-05-07,226.745226
1998-05-08,227.743287
1998-05-11,229.650294
1998-05-12,227.214619
1998-05-13,224.984325
1998-05-14,224.531527
1998-05-15,224.035357
1998-05-18,220.499263
1998-05-19,221.566095
1998-05-20,223.988456
1998-05-21,226.315646
1998-05-22,225.288337
1998-05-25,224.865748
1998-05-26,223.4555
1998-05-27,218.987293
1998-05-28,218.562134
1998-05-29,217.938634
1998-06-01,214.309698
1998-06-02,215.193653
1998-06-03,217.037093
1998-06-04,215.461166
1998-06-05,214.833106
1998-06-08,213.670592
1998-06-09,213.162218
1998-06-10,208.726289
1998-06-11,205.571355
1998-06-12,204.087027
1998-06-15,198.384476
1998-06-16,200.141332
1998-06-17,207.254901
1998-06-18,210.860745
1998-06-19,211.389545
1998-06-22,207.307403
1998-06-23,207.358082
1998-06-24,207.184996
1998-06-25,208.789773
1998-06-26,207.460587
1998-06-29,208.4879
1998-06-30,210.397664
1998-07-01,213.603292
1998-07-02,214.852082
1998-07-03,213.988238
1998-07-06,213.504627
1998-07-07,213.093071
1998-07-08,214.023091
1998-07-09,211.690507
1998-07-10,209.363602
1998-07-13,209.704748
1998-07-14,212.116813
1998-07-15,213.225098
1998-07-16,213.663168
1998-07-17,215.321117
1998-07-20,215.007044
1998-07-21,212.755843
1998-07-22,210.576191
1998-07-23,208.053506
1998-07-24,208.349591
1998-07-27,204.799527
