Date,Value
1998-11-30,405.608719
1998-12-01,403.820457
1998-12-02,402.765858
1998-12-03,399.057182
1998-12-04,405.345227
1998-12-07,407.599572
1998-12-08,406.959431
1998-12-09,407.955387
1998-12-10,404.052499
1998-12-11,403.120784
1998-12-14,397.382652
1998-12-15,402.310012
1998-12-16,402.829293
1998-12-17,408.032284
1998-12-18,409.763531
1998-12-21,416.616663
1998-12-22,418.367121
1998-12-23,426.733444
1998-12-24,425.975744
1998-12-25,425.976924
1998-12-28,428.313888
1998-12-29,433.915747
1998-12-30,429.829335
1998-12-31,428.981321
1999-01-01,428.981344
1999-01-04,433.272129
1999-01-05,436.25527
1999-01-06,445.671415
1999-01-07,442.763819
1999-01-08,443.60318
1999-01-11,438.711423
1999-01-12,431.106838
1999-01-13,426.223403
1999-01-14,421.421624
1999-01-15,428.912879
1999-01-18,431.539922
1999-01-19,433.024552
1999-01-20,434.435516
1999-01-21,428.371145
1999-01-22,423.239157
1999-01-25,426.064933
1999-01-26,431.321157
1999-01-27,431.832196
1999-01-28,436.641395
1999-01-29,439.251466
1999-02-01,439.608768
1999-02-02,436.382592
1999-02-03,436.445645
1999-02-04,430.692481
1999-02-05,427.757776
1999-02-08,428.252764
1999-02-09,419.282262
1999-02-10,418.9692
1999-02-11,425.775876
1999-02-12,421.568297
1999-02-15,421.559264
1999-02-16,423.507396
1999-02-17,418.941179
1999-02-18,420.426918
1999-02-19,420.665854
1999-02-22,428.697517
1999-02-23,430.634956
1999-02-24,427.989416
1999-02-25,425.215202
1999-02-26,422.746203
1999-03-01,419.943346
1999-03-02,418.448274
1999-03-03,417.953897
1999-03-04,421.725242
1999-03-05,431.575715
1999-03-08,433.08431
1999-03-09,433.342151
1999-03-10,435.103614
1999-03-11,438.098583
1999-03-12,439.999677
1999-03-15,442.324038
1999-03-16,442.055329
1999-03-17,440.113793
1999-03-18,443.898627
1999-03-19,440.625089
1999-03-22,439.285956
1999-03-23,429.443136
1999-03-24,429.81963
1999-03-25,436.854213
1999-03-26,432.713139
1999-03-29,440.694461
1999-03-30,439.563028
1999-03-31,436.920212
1999-04-01,438.249678
1999-04-02,437.998777
1999-04-05,443.008829
1999-04-06,443.81343
1999-04-07,446.652918
1999-04-08,453.334932
1999-04-09,455.355071
1999-04-12,458.024157
1999-04-13,457.983072
1999-04-14,451.317723
1999-04-15,449.043293
1999-04-16,447.741269
1999-04-19,440.541693
1999-04-20,441.805356
1999-04-21,448.579292
1999-04-22,454.162933
1999-04-23,453.371763
1999-04-26,454.52109
1999-04-27,456.919386
1999-04-28,455.025949
1999-04-29,452.068303
1999-04-30,450.540634
1999-05-03,454.25991
1999-05-04,450.461031
1999-05-05,452.583848
1999-05-06,449.551469
1999-05-07,450.014039
1999-05-10,450.414699
1999-05-11,453.767355
1999-05-12,452.938488
1999-05-13,452.468687
1999-05-14,444.321766
1999-05-17,442.988055
1999-05-18,442.179678
1999-05-19,444.832636
1999-05-20,445.111407
1999-05-21,442.302883
1999-05-24,436.450693
1999-05-25,429.912143
1999-05-26,432.775704
1999-05-27,426.431577
1999-05-28,430.583963
1999-05-31,430.39948
1999-06-01,429.842785
1999-06-02,431.33858
1999-06-03,433.454287
1999-06-04,440.482193
1999-06-07,442.4802
1999-06-08,441.638938
1999-06-09,441.70789
1999-06-10,437.483062
1999-06-11,436.739138
1999-06-14,434.821327
1999-06-15,435.202525
1999-06-16,442.375842
1999-06-17,445.37933
1999-06-18,447.062966
1999-06-21,450.467414
1999-06-22,447.10147
1999-06-23,444.335732
1999-06-24,439.766824
1999-06-25,441.398748
1999-06-28,444.526345
1999-06-29,448.98132
1999-06-30,452.442231
1999-07-01,456.100773
1999-07-02,459.907478
1999-07-05,462.108292
1999-07-06,461.171127
1999-07-07,461.017071
1999-07-08,458.886289
1999-07-09,459.979275
1999-07-12,458.279988
1999-07-13,455.653141
1999-07-14,457.32099
1999-07-15,461.502455
1999-07-16,463.227949
1999-07-19,459.67698
1999-07-20,453.908623
1999-07-21,453.353244
1999-07-22,449.791096
1999-07-23,445.822082
1999-07-26,444.450532
