Date,Value
1998-11-30,1000
1998-12-01,1012.009008
1998-12-02,1009.036521
1998-12-03,988.626758
1998-12-04,1010.498254
1998-12-07,1021.187733
1998-12-08,1018.823879
1998-12-09,1020.128307
1998-12-10,1003.505503
1998-12-11,1006.849568
1998-12-14,984.376518
1998-12-15,1003.313091
1998-12-16,1000.616171
1998-12-17,1014.565269
1998-12-18,1021.833034
1998-12-21,1035.771787
1998-12-22,1040.126134
1998-12-23,1063.385554
1998-12-24,1061.714776
1998-12-25,1061.714776
1998-12-28,1061.950157
1998-12-29,1078.142415
1998-12-30,1067.407555
1998-12-31,1064.243334
1999-01-01,1064.243334
1999-01-04,1066.340034
1999-01-05,1074.452245
1999-01-06,1099.609437
1999-01-07,1100.63335
1999-01-08,1106.710864
1999-01-11,1097.271221
1999-01-12,1074.461083
1999-01-13,1071.673155
1999-01-14,1054.386458
1999-01-15,1078.980678
1999-01-18,1078.980678
1999-01-19,1089.587843
1999-01-20,1089.845888
1999-01-21,1068.254278
1999-01-22,1063.102131
1999-01-25,1073.980835
1999-01-26,1092.573544
1999-01-27,1089.133525
1999-01-28,1110.468191
1999-01-29,1124.095477
1999-02-01,1120.091586
1999-02-02,1109.901168
1999-02-03,1120.755732
1999-02-04,1098.621064
1999-02-05,1088.522576
1999-02-08,1095.00896
1999-02-09,1067.722077
1999-02-10,1071.721531
1999-02-11,1099.735381
1999-02-12,1077.506174
1999-02-15,1077.506174
1999-02-16,1086.902639
1999-02-17,1072.829392
1999-02-18,1083.207548
1999-02-19,1088.909482
1999-02-22,1114.663266
1999-02-23,1117.373257
1999-02-24,1097.608058
1999-02-25,1091.829462
1999-02-26,1086.941308
1999-03-01,1085.105284
1999-03-02,1077.873319
1999-03-03,1078.277619
1999-03-04,1094.48307
1999-03-05,1119.167927
1999-03-08,1126.572801
1999-03-09,1123.284197
1999-03-10,1126.959761
1999-03-11,1134.625424
1999-03-12,1130.351521
1999-03-15,1143.33237
1999-03-16,1143.020852
1999-03-17,1136.180489
1999-03-18,1151.949661
1999-03-19,1135.218977
1999-03-22,1133.242069
1999-03-23,1104.994102
1999-03-24,1111.891581
1999-03-25,1133.412722
1999-03-26,1124.811421
1999-03-29,1148.751022
1999-03-30,1142.544367
1999-03-31,1129.204338
1999-04-01,1132.911697
1999-04-02,1132.911697
1999-04-05,1157.242778
1999-04-06,1153.492799
1999-04-07,1160.742029
1999-04-08,1179.289963
1999-04-09,1186.344041
1999-04-12,1195.963163
1999-04-13,1190.417027
1999-04-14,1165.508446
1999-04-15,1157.656663
1999-04-16,1152.404358
1999-04-19,1121.389261
1999-04-20,1137.822076
1999-04-21,1167.155393
1999-04-22,1184.933504
1999-04-23,1182.519301
1999-04-26,1184.635273
1999-04-27,1181.320035
1999-04-28,1171.041362
1999-04-29,1163.928823
1999-04-30,1156.713271
1999-05-03,1171.219094
1999-05-04,1152.435007
1999-05-05,1167.723889
1999-05-06,1152.977048
1999-05-07,1158.845561
1999-05-10,1158.993927
1999-05-11,1175.046515
1999-05-12,1180.890987
1999-05-13,1178.499888
1999-05-14,1153.230489
1999-05-17,1159.611341
1999-05-18,1152.305462
1999-05-19,1159.692792
1999-05-20,1156.995353
1999-05-21,1150.22516
1999-05-24,1129.000253
1999-05-25,1108.862143
1999-05-26,1124.937328
1999-05-27,1106.769297
1999-05-28,1122.107949
1999-05-31,1122.107949
1999-06-01,1116.964408
1999-06-02,1120.378457
1999-06-03,1122.38614
1999-06-04,1150.422616
1999-06-07,1152.827925
1999-06-08,1138.899152
1999-06-09,1138.047955
1999-06-10,1122.616965
1999-06-11,1110.830048
1999-06-14,1106.820641
1999-06-15,1112.418018
1999-06-16,1143.157984
1999-06-17,1153.824913
1999-06-18,1157.107607
1999-06-21,1164.260159
1999-06-22,1151.458234
1999-06-23,1149.868398
1999-06-24,1133.1581
1999-06-25,1134.096361
1999-06-28,1149.110577
1999-06-29,1169.299399
1999-06-30,1187.454453
1999-07-01,1195.807045
1999-07-02,1208.492128
1999-07-05,1208.492128
1999-07-06,1207.739728
1999-07-07,1213.535303
1999-07-08,1213.069119
1999-07-09,1217.976489
1999-07-12,1210.443561
1999-07-13,1205.638509
1999-07-14,1207.789869
1999-07-15,1216.023714
1999-07-16,1223.493204
1999-07-19,1212.137059
1999-07-20,1185.319937
1999-07-21,1190.844774
1999-07-22,1177.712902
1999-07-23,1171.312799
1999-07-26,1163.020917
1999-07-27,1173.16002
1999-07-28,1178.680515
1999-07-29,1156.988072
1999-07-30,1148.272997
1999-08-02,1148.45131
1999-08-03,1139.830375
1999-08-04,1126.033455
1999-08-05,1132.430027
1999-08-06,1121.890871
1999-08-09,1116.605217
1999-08-10,1105.549577
1999-08-11,1124.069247
1999-08-12,1125.580673
1999-08-13,1151.126488
1999-08-16,1153.472094
1999-08-17,1164.774393
1999-08-18,1153.705781
1999-08-19,1142.87727
1999-08-20,1159.221801
1999-08-23,1180.680314
1999-08-24,1184.478363
1999-08-25,1205.685528
1999-08-26,1187.694106
1999-08-27,1175.122629
1999-08-30,1153.707788
1999-08-31,1147.630077
1999-09-01,1159.41927
1999-09-02,1153.089689
1999-09-03,1187.352734
1999-09-06,1187.352734
1999-09-07,1174.874823
1999-09-08,1168.124927
1999-09-09,1172.854092
1999-09-10,1177.064861
1999-09-13,1168.32532
1999-09-14,1162.410907
1999-09-15,1143.545162
1999-09-16,1143.783523
1999-09-17,1163.813948
1999-09-20,1161.28452
1999-09-21,1139.169259
1999-09-22,1140.72263
1999-09-23,1111.119527
1999-09-24,1106.296602
1999-09-27,1110.973539
1999-09-28,1112.283809
1999-09-29,1098.949443
1999-09-30,1112.379328
1999-10-01,1115.073227
1999-10-04,1136.750316
1999-10-05,1136.874612
1999-10-06,1158.433462
1999-10-07,1153.188983
1999-10-08,1172.715522
1999-10-11,1172.337334
1999-10-12,1151.549837
1999-10-13,1123.895419
1999-10-14,1126.524388
1999-10-15,1090.579108
1999-10-18,1096.970815
1999-10-19,1105.653784
1999-10-20,1128.506133
1999-10-21,1128.864688
1999-10-22,1144.650629
1999-10-25,1134.685207
1999-10-26,1120.946272
1999-10-27,1135.861735
1999-10-28,1182.193814
1999-10-29,1206.058655
1999-11-01,1204.977452
1999-11-02,1199.139277
1999-11-03,1203.617775
1999-11-04,1208.084873
1999-11-05,1218.332724
1999-11-08,1225.987853
1999-11-09,1212.61727
1999-11-10,1217.544731
1999-11-11,1223.960961
1999-11-12,1234.743105
1999-11-15,1231.386156
1999-11-16,1255.744267
1999-11-17,1251.634425
1999-11-18,1266.622608
1999-11-19,1266.340063
1999-11-22,1272.320036
1999-11-23,1262.155091
1999-11-24,1277.510156
1999-11-25,1277.510156
1999-11-26,1279.268281
1999-11-29,1272.289101
1999-11-30,1250.935556
1999-12-01,1262.713276
1999-12-02,1277.060287
1999-12-03,1297.308343
1999-12-06,1283.192891
1999-12-07,1270.887447
1999-12-08,1265.704463
1999-12-09,1279.74901
1999-12-10,1287.381739
1999-12-13,1288.862297
1999-12-14,1277.823239
1999-12-15,1299.838156
1999-12-16,1303.766014
1999-12-17,1301.662774
1999-12-20,1300.01783
1999-12-21,1306.469722
1999-12-22,1312.821788
1999-12-23,1336.900635
1999-12-24,1336.900635
1999-12-27,1334.023709
1999-12-28,1334.512719
1999-12-29,1340.568501
1999-12-30,1339.819512
1999-12-31,1340.944762
2000-01-03,1332.436554
2000-01-04,1276.372537
2000-01-05,1279.275947
2000-01-06,1258.392041
2000-01-07,1310.292003
2000-01-10,1317.290227
2000-01-11,1302.173588
2000-01-12,1292.753883
2000-01-13,1308.435219
2000-01-14,1320.95744
2000-01-17,1320.95744
2000-01-18,1308.57781
2000-01-19,1307.00426
2000-01-20,1298.031737
2000-01-21,1295.531344
2000-01-24,1259.794433
2000-01-25,1267.781529
