Date,Value
1998-12-31,86.833612
1999-01-01,86.833612
1999-01-04,88.326635
1999-01-05,89.194115
1999-01-06,91.248288
1999-01-07,92.182441
1999-01-08,91.630872
1999-01-11,90.421392
1999-01-12,88.248728
1999-01-13,83.548754
1999-01-14,82.247069
1999-01-15,85.223811
1999-01-18,86.116374
1999-01-19,86.222352
1999-01-20,87.729782
1999-01-21,85.923066
1999-01-22,84.125075
1999-01-25,82.991978
1999-01-26,84.121991
1999-01-27,85.416476
1999-01-28,85.638599
1999-01-29,85.524636
1999-02-01,87.20009
1999-02-02,87.30959
1999-02-03,86.965716
1999-02-04,86.287353
1999-02-05,85.804978
1999-02-08,86.059074
1999-02-09,84.935708
1999-02-10,85.478779
1999-02-11,86.597832
1999-02-12,87.469221
1999-02-15,87.347696
1999-02-16,87.589216
1999-02-17,87.18345
1999-02-18,86.7039
1999-02-19,86.226557
1999-02-22,86.502155
1999-02-23,85.433037
1999-02-24,85.926351
1999-02-25,85.898257
1999-02-26,86.348692
1999-03-01,86.838788
1999-03-02,86.564039
1999-03-03,87.374546
1999-03-04,87.541566
1999-03-05,88.667518
1999-03-08,90.720519
1999-03-09,91.858883
1999-03-10,92.622442
1999-03-11,92.866006
1999-03-12,93.420139
1999-03-15,94.921297
1999-03-16,95.631964
1999-03-17,95.910953
1999-03-18,96.242164
1999-03-19,97.324096
1999-03-22,97.106837
1999-03-23,96.139355
1999-03-24,95.377222
1999-03-25,96.684608
1999-03-26,96.306626
1999-03-29,96.352966
1999-03-30,97.651224
1999-03-31,97.75929
1999-04-01,97.874044
1999-04-02,98.91843
1999-04-05,99.133961
1999-04-06,100.093756
1999-04-07,101.222628
1999-04-08,101.821761
1999-04-09,101.801046
1999-04-12,102.113356
1999-04-13,102.535021
1999-04-14,103.386327
1999-04-15,104.787077
1999-04-16,107.19461
1999-04-19,108.681423
1999-04-20,107.977733
1999-04-21,106.513821
1999-04-22,107.002041
1999-04-23,107.763926
1999-04-26,107.545212
1999-04-27,108.004184
1999-04-28,109.010497
1999-04-29,108.440284
1999-04-30,109.846647
1999-05-03,111.094187
1999-05-04,112.723975
1999-05-05,113.445217
1999-05-06,116.371168
1999-05-07,116.951051
1999-05-10,117.877649
1999-05-11,117.157314
1999-05-12,115.184035
1999-05-13,115.453554
1999-05-14,115.56789
1999-05-17,114.235641
1999-05-18,115.540477
1999-05-19,114.60172
1999-05-20,113.848416
1999-05-21,112.665985
1999-05-24,111.01357
1999-05-25,109.297483
1999-05-26,110.221858
1999-05-27,109.007231
1999-05-28,108.413384
1999-05-31,109.21134
1999-06-01,110.099817
1999-06-02,110.400791
1999-06-03,111.206564
1999-06-04,112.635193
1999-06-07,114.72292
1999-06-08,115.667995
1999-06-09,114.695037
1999-06-10,116.165348
1999-06-11,115.75791
1999-06-14,114.814395
1999-06-15,114.711549
1999-06-16,117.406709
1999-06-17,119.045671
1999-06-18,119.988847
1999-06-21,122.321724
1999-06-22,122.980721
1999-06-23,121.386548
1999-06-24,120.410137
1999-06-25,119.23659
1999-06-28,120.403532
1999-06-29,121.024912
1999-06-30,121.576668
1999-07-01,123.407976
1999-07-02,124.708017
1999-07-05,126.772787
1999-07-06,126.611889
1999-07-07,126.204888
1999-07-08,125.14727
1999-07-09,125.692604
1999-07-12,124.671352
1999-07-13,123.671033
1999-07-14,123.038201
1999-07-15,124.15946
1999-07-16,124.095703
1999-07-19,124.777912
1999-07-20,123.908413
1999-07-21,123.183633
1999-07-22,122.587603
1999-07-23,119.669628
1999-07-26,117.32357
1999-07-27,117.813051
1999-07-28,119.111433
1999-07-29,119.06755
1999-07-30,118.1948
1999-08-02,116.206937
1999-08-03,117.070311
1999-08-04,117.085329
1999-08-05,115.418106
1999-08-06,114.334801
1999-08-09,114.933085
1999-08-10,115.227258
1999-08-11,114.677758
1999-08-12,115.599503
1999-08-13,115.97246
1999-08-16,117.209052
1999-08-17,116.512079
1999-08-18,116.065467
1999-08-19,115.729565
1999-08-20,116.788396
1999-08-23,119.083008
1999-08-24,119.070679
1999-08-25,121.366771
1999-08-26,120.666736
1999-08-27,120.316667
1999-08-30,119.678151
1999-08-31,119.309451
1999-09-01,119.402078
1999-09-02,118.883326
1999-09-03,118.893258
1999-09-06,120.536568
1999-09-07,119.554535
1999-09-08,118.871074
1999-09-09,119.524996
1999-09-10,120.817982
1999-09-13,121.810522
1999-09-14,121.618346
1999-09-15,120.385395
1999-09-16,118.636078
1999-09-17,118.801459
1999-09-20,119.686445
1999-09-21,118.827154
1999-09-22,118.531764
1999-09-23,117.686766
1999-09-24,117.037403
1999-09-27,115.987915
1999-09-28,116.393063
