Date,Value
1998-12-31,2293.188347
1999-01-01,2293.188829
1999-01-04,2316.363056
1999-01-05,2339.967784
1999-01-06,2384.283305
1999-01-07,2376.704524
1999-01-08,2374.975253
1999-01-11,2354.353734
1999-01-12,2314.558179
1999-01-13,2283.372744
1999-01-14,2267.643398
1999-01-15,2301.960297
1999-01-18,2321.989164
1999-01-19,2327.568102
1999-01-20,2341.090621
1999-01-21,2313.901089
1999-01-22,2278.495614
1999-01-25,2289.560638
1999-01-26,2313.074097
1999-01-27,2302.961939
1999-01-28,2323.719513
1999-01-29,2341.761883
1999-02-01,2344.537833
1999-02-02,2334.722987
1999-02-03,2332.115724
1999-02-04,2305.198921
1999-02-05,2288.807325
1999-02-08,2284.689997
1999-02-09,2242.276378
1999-02-10,2244.028053
1999-02-11,2283.047983
1999-02-12,2270.368738
1999-02-15,2270.496675
1999-02-16,2277.303041
1999-02-17,2256.482795
1999-02-18,2267.243627
1999-02-19,2264.9018
1999-02-22,2303.901756
1999-02-23,2311.46116
1999-02-24,2299.396054
1999-02-25,2289.818553
1999-02-26,2278.619033
1999-03-01,2261.431082
1999-03-02,2249.817597
1999-03-03,2243.820474
1999-03-04,2260.090324
1999-03-05,2316.678117
1999-03-08,2324.034023
1999-03-09,2329.87975
1999-03-10,2348.914085
1999-03-11,2364.30663
1999-03-12,2371.889929
1999-03-15,2387.559675
1999-03-16,2393.078576
1999-03-17,2388.084356
1999-03-18,2396.16968
1999-03-19,2395.309207
1999-03-22,2386.30686
1999-03-23,2337.646802
1999-03-24,2331.691507
1999-03-25,2365.806192
1999-03-26,2347.652258
1999-03-29,2383.939579
1999-03-30,2376.38123
1999-03-31,2375.125434
1999-04-01,2390.178152
1999-04-02,2387.254497
1999-04-05,2408.543013
1999-04-06,2422.998401
1999-04-07,2439.846548
1999-04-08,2468.340101
1999-04-09,2471.238851
1999-04-12,2480.838573
1999-04-13,2481.717438
1999-04-14,2465.901593
1999-04-15,2447.173468
1999-04-16,2443.9916
1999-04-19,2420.870231
1999-04-20,2418.536911
1999-04-21,2444.740808
1999-04-22,2473.756291
1999-04-23,2479.175049
1999-04-26,2488.907615
1999-04-27,2505.894591
1999-04-28,2491.70597
1999-04-29,2476.191267
1999-04-30,2468.27197
1999-05-03,2488.245526
1999-05-04,2468.342875
1999-05-05,2476.478626
1999-05-06,2476.234791
1999-05-07,2477.662416
1999-05-10,2477.168417
1999-05-11,2483.174851
1999-05-12,2483.917798
1999-05-13,2487.804775
1999-05-14,2445.849817
1999-05-17,2425.574752
1999-05-18,2428.703143
1999-05-19,2439.75599
1999-05-20,2441.214801
1999-05-21,2428.754556
1999-05-24,2405.31957
1999-05-25,2375.906907
1999-05-26,2388.794006
1999-05-27,2357.034838
1999-05-28,2378.950105
1999-05-31,2379.499026
1999-06-01,2379.589378
1999-06-02,2383.77307
1999-06-03,2390.870786
1999-06-04,2422.513827
1999-06-07,2438.817777
1999-06-08,2435.529964
1999-06-09,2443.000438
1999-06-10,2427.754795
1999-06-11,2432.611905
1999-06-14,2418.336831
1999-06-15,2426.28759
1999-06-16,2456.412288
1999-06-17,2474.201628
1999-06-18,2480.601664
1999-06-21,2491.75853
1999-06-22,2477.622262
1999-06-23,2460.9201
1999-06-24,2438.641408
1999-06-25,2444.750829
1999-06-28,2458.93452
1999-06-29,2477.884144
1999-06-30,2490.981139
1999-07-01,2521.174335
1999-07-02,2539.507711
1999-07-05,2556.689195
1999-07-06,2549.515528
1999-07-07,2545.39178
1999-07-08,2537.305952
1999-07-09,2545.930839
1999-07-12,2543.673195
1999-07-13,2531.518724
1999-07-14,2545.100224
1999-07-15,2571.432584
1999-07-16,2572.741536
1999-07-19,2564.408732
1999-07-20,2534.079344
1999-07-21,2529.690502
1999-07-22,2500.605444
1999-07-23,2481.786807
1999-07-26,2475.372415
1999-07-27,2492.666816
1999-07-28,2502.647184
1999-07-29,2475.992012
1999-07-30,2482.319079
1999-08-02,2476.410381
1999-08-03,2470.06561
1999-08-04,2454.716429
1999-08-05,2442.570695
1999-08-06,2424.959261
1999-08-09,2419.301483
1999-08-10,2394.71339
1999-08-11,2411.88983
1999-08-12,2427.351882
1999-08-13,2462.705576
1999-08-16,2479.351166
1999-08-17,2489.639509
1999-08-18,2486.128294
1999-08-19,2476.407079
1999-08-20,2506.197934
1999-08-23,2541.510467
1999-08-24,2539.297976
1999-08-25,2557.597779
1999-08-26,2532.452808
1999-08-27,2520.278134
