Date,Value
1998-12-31,3076.327018
1999-01-01,3076.328895
1999-01-04,3186.00026
1999-01-05,3220.21923
1999-01-06,3276.046598
1999-01-07,3222.545672
1999-01-08,3209.213178
1999-01-11,3158.087423
1999-01-12,3116.224057
1999-01-13,3035.706919
1999-01-14,3042.213105
1999-01-15,3063.990147
1999-01-18,3134.786922
1999-01-19,3124.469936
1999-01-20,3143.866086
1999-01-21,3113.965325
1999-01-22,3033.068477
1999-01-25,3040.128955
1999-01-26,3044.597597
1999-01-27,3038.863569
1999-01-28,3053.240353
1999-01-29,3053.656857
1999-02-01,3087.253886
1999-02-02,3080.383155
1999-02-03,3043.595083
1999-02-04,3030.577082
1999-02-05,3016.517499
1999-02-08,2985.682458
1999-02-09,2937.754329
1999-02-10,2922.555243
1999-02-11,2956.719362
1999-02-12,2978.798284
1999-02-15,2984.61285
1999-02-16,2986.702045
1999-02-17,2971.770661
1999-02-18,2975.916904
1999-02-19,2957.721783
1999-02-22,2979.076692
1999-02-23,3003.976852
1999-02-24,3027.11763
1999-02-25,3002.549928
1999-02-26,2974.346839
1999-03-01,2926.040783
1999-03-02,2937.646535
1999-03-03,2914.24473
1999-03-04,2919.957039
1999-03-05,2985.288165
1999-03-08,2976.42782
1999-03-09,2987.299468
1999-03-10,3000.954545
1999-03-11,3014.343889
1999-03-12,3048.103902
1999-03-15,3032.14644
1999-03-16,3032.947239
1999-03-17,3036.429487
1999-03-18,3019.277887
1999-03-19,3037.844782
1999-03-22,3015.910017
1999-03-23,2960.688655
1999-03-24,2944.108452
1999-03-25,2975.931886
1999-03-26,2934.281094
1999-03-29,2974.635737
1999-03-30,2975.629575
1999-03-31,3010.337804
1999-04-01,3015.480254
1999-04-02,3010.157562
1999-04-05,2995.882974
1999-04-06,3040.897083
1999-04-07,3066.223745
1999-04-08,3085.490258
1999-04-09,3086.391499
1999-04-12,3094.576436
1999-04-13,3113.11023
1999-04-14,3108.288702
1999-04-15,3065.166134
1999-04-16,3051.718832
1999-04-19,3076.607979
1999-04-20,3013.670266
1999-04-21,3016.637876
