Date,Value
1998-12-31,2545.488004
1999-01-01,2545.489099
1999-01-04,2601.031087
1999-01-05,2619.898855
1999-01-06,2660.671591
1999-01-07,2644.821881
1999-01-08,2630.491802
1999-01-11,2609.292239
1999-01-12,2571.548889
1999-01-13,2510.15378
1999-01-14,2520.343826
1999-01-15,2534.759052
1999-01-18,2579.834783
1999-01-19,2573.649222
1999-01-20,2594.136175
1999-01-21,2582.408882
1999-01-22,2522.838863
1999-01-25,2526.832046
1999-01-26,2536.215631
1999-01-27,2532.243576
1999-01-28,2532.011707
1999-01-29,2543.710439
1999-02-01,2566.50671
1999-02-02,2569.584663
1999-02-03,2541.473286
1999-02-04,2531.874887
1999-02-05,2516.209165
1999-02-08,2497.169067
1999-02-09,2459.905872
1999-02-10,2445.902379
1999-02-11,2471.341579
1999-02-12,2488.275336
1999-02-15,2488.562951
1999-02-16,2479.306182
1999-02-17,2465.417719
1999-02-18,2464.145
1999-02-19,2451.488478
1999-02-22,2473.360711
1999-02-23,2487.236649
1999-02-24,2497.472668
1999-02-25,2490.801045
1999-02-26,2478.155926
1999-03-01,2442.669075
1999-03-02,2436.393301
1999-03-03,2420.982764
1999-03-04,2419.852186
1999-03-05,2487.346844
1999-03-08,2487.336127
1999-03-09,2504.340012
1999-03-10,2533.756385
1999-03-11,2543.133733
1999-03-12,2569.365445
1999-03-15,2576.055344
1999-03-16,2589.636159
1999-03-17,2597.779022
1999-03-18,2573.861592
1999-03-19,2607.822347
1999-03-22,2592.609391
1999-03-23,2554.973256
1999-03-24,2530.47133
1999-03-25,2559.769948
1999-03-26,2535.376715
1999-03-29,2558.394163
1999-03-30,2555.358999
1999-03-31,2585.574222
1999-04-01,2602.571744
1999-04-02,2596.013396
1999-04-05,2585.0022
1999-04-06,2626.207389
1999-04-07,2644.033645
1999-04-08,2668.470712
1999-04-09,2665.460265
1999-04-12,2662.428436
1999-04-13,2683.196996
1999-04-14,2695.347094
1999-04-15,2665.597238
1999-04-16,2671.330618
1999-04-19,2684.887786
1999-04-20,2641.363912
1999-04-21,2629.228476
1999-04-22,2652.291514
1999-04-23,2666.465783
1999-04-26,2679.813228
1999-04-27,2718.563828
1999-04-28,2713.994626
1999-04-29,2695.887679
1999-04-30,2696.880547
1999-05-03,2701.588122
1999-05-04,2704.45093
1999-05-05,2686.53156
1999-05-06,2719.081351
1999-05-07,2699.362907
1999-05-10,2705.401924
1999-05-11,2685.935483
1999-05-12,2672.434444
1999-05-13,2674.276333
1999-05-14,2643.445586
1999-05-17,2587.642456
1999-05-18,2608.117827
1999-05-19,2607.294286
1999-05-20,2622.160776
1999-05-21,2613.966366
1999-05-24,2611.396289
1999-05-25,2593.161787
1999-05-26,2577.462974
1999-05-27,2554.570484
1999-05-28,2562.997805
1999-05-31,2564.231145
1999-06-01,2583.462434
1999-06-02,2585.753984
1999-06-03,2591.171648
1999-06-04,2597.387272
1999-06-07,2625.046519
1999-06-08,2654.881013
1999-06-09,2668.411809
1999-06-10,2669.329992
1999-06-11,2700.966997
1999-06-14,2671.866418
1999-06-15,2672.390305
1999-06-16,2677.075861
1999-06-17,2695.463906
1999-06-18,2705.282032
1999-06-21,2717.754007
1999-06-22,2713.058803
1999-06-23,2683.077536
1999-06-24,2670.245324
1999-06-25,2684.101332
1999-06-28,2678.413668
1999-06-29,2678.811502
1999-06-30,2666.122295
1999-07-01,2711.98364
1999-07-02,2726.821035
1999-07-05,2765.137808
1999-07-06,2758.20092
1999-07-07,2738.212297
1999-07-08,2721.755387
1999-07-09,2725.649092
1999-07-12,2727.354238
1999-07-13,2709.701075
1999-07-14,2731.869298
1999-07-15,2768.156502
1999-07-16,2750.343711
1999-07-19,2749.484177
1999-07-20,2750.641915
1999-07-21,2736.666779
1999-07-22,2708.642916
1999-07-23,2675.907457
1999-07-26,2681.884772
1999-07-27,2690.631807
1999-07-28,2708.309813
1999-07-29,2700.292595
1999-07-30,2741.533548
1999-08-02,2731.276428
1999-08-03,2729.428251
1999-08-04,2729.662512
1999-08-05,2683.661344
1999-08-06,2672.805347
1999-08-09,2670.501578
1999-08-10,2646.44104
1999-08-11,2642.374114
1999-08-12,2685.3083
1999-08-13,2703.067966
1999-08-16,2730.694911
1999-08-17,2726.801715
1999-08-18,2745.518764
1999-08-19,2743.864019
1999-08-20,2780.430031
1999-08-23,2804.272675
1999-08-24,2789.197506
1999-08-25,2792.23384
1999-08-26,2777.010906
1999-08-27,2778.060716
1999-08-30,2786.582373
1999-08-31,2750.32658
1999-09-01,2793.031673
1999-09-02,2782.164704
1999-09-03,2798.667867
1999-09-06,2822.183594
1999-09-07,2805.055005
1999-09-08,2802.904577
1999-09-09,2837.462555
1999-09-10,2826.186399
1999-09-13,2825.689724
1999-09-14,2819.061069
1999-09-15,2810.30762
1999-09-16,2779.755884
1999-09-17,2774.330939
1999-09-20,2793.360066
1999-09-21,2802.137418
1999-09-22,2770.826439
1999-09-23,2775.041512
1999-09-24,2731.336705
