Date,Value
1998-12-31,1203.051359
1999-01-01,1203.051359
1999-01-04,1201.898848
1999-01-05,1199.610584
1999-01-06,1237.744148
1999-01-07,1276.788879
1999-01-08,1272.402891
1999-01-11,1278.123388
1999-01-12,1279.550159
1999-01-13,1240.723589
1999-01-14,1229.671661
1999-01-15,1236.405886
1999-01-18,1255.057489
1999-01-19,1259.595531
1999-01-20,1268.059827
1999-01-21,1249.620009
1999-01-22,1221.393898
1999-01-25,1194.894478
1999-01-26,1198.919539
1999-01-27,1215.347831
1999-01-28,1198.139276
1999-01-29,1209.243669
1999-02-01,1226.625728
1999-02-02,1221.018654
1999-02-03,1217.631307
1999-02-04,1227.439231
1999-02-05,1214.282649
1999-02-08,1205.630797
1999-02-09,1201.50776
1999-02-10,1175.684383
1999-02-11,1194.57016
1999-02-12,1209.435712
1999-02-15,1202.775872
1999-02-16,1190.976501
1999-02-17,1194.748127
1999-02-18,1191.208461
1999-02-19,1196.16555
1999-02-22,1201.50877
1999-02-23,1202.941893
1999-02-24,1209.672653
1999-02-25,1198.099696
1999-02-26,1194.534381
1999-03-01,1206.430069
1999-03-02,1200.268593
1999-03-03,1203.773021
1999-03-04,1201.668175
1999-03-05,1226.451875
1999-03-08,1241.004417
1999-03-09,1254.646502
1999-03-10,1266.033468
1999-03-11,1261.393299
1999-03-12,1275.978636
1999-03-15,1285.228705
1999-03-16,1282.463757
1999-03-17,1277.367547
1999-03-18,1266.555941
1999-03-19,1288.269117
1999-03-22,1297.686856
1999-03-23,1302.218738
1999-03-24,1285.77465
1999-03-25,1292.805294
1999-03-26,1286.853631
1999-03-29,1274.948752
1999-03-30,1289.181956
1999-03-31,1291.099668
1999-04-01,1306.74469
1999-04-02,1303.042058
1999-04-05,1303.720495
1999-04-06,1315.21837
1999-04-07,1338.058564
1999-04-08,1342.587151
1999-04-09,1361.236949
1999-04-12,1355.269249
1999-04-13,1376.230915
1999-04-14,1381.923201
1999-04-15,1387.776466
1999-04-16,1431.394946
1999-04-19,1462.206463
1999-04-20,1427.9624
1999-04-21,1434.077366
1999-04-22,1471.218509
1999-04-23,1476.259799
1999-04-26,1483.995071
1999-04-27,1504.118655
1999-04-28,1486.054117
1999-04-29,1485.00887
1999-04-30,1503.837706
1999-05-03,1499.750183
1999-05-04,1513.506907
1999-05-05,1514.052346
1999-05-06,1524.380217
1999-05-07,1475.773454
1999-05-10,1481.521248
1999-05-11,1474.768918
1999-05-12,1485.756398
1999-05-13,1491.693613
1999-05-14,1486.585012
1999-05-17,1461.479904
1999-05-18,1478.103872
1999-05-19,1450.429793
1999-05-20,1443.38138
1999-05-21,1437.971872
1999-05-24,1442.442447
1999-05-25,1420.104863
1999-05-26,1416.552769
1999-05-27,1413.381273
1999-05-28,1404.019404
1999-05-31,1399.824268
1999-06-01,1409.055666
1999-06-02,1416.208059
1999-06-03,1428.141318
1999-06-04,1429.307784
1999-06-07,1453.547344
1999-06-08,1468.414822
1999-06-09,1476.585008
1999-06-10,1476.020163
1999-06-11,1483.768909
1999-06-14,1478.579836
1999-06-15,1468.565059
1999-06-16,1482.114942
1999-06-17,1500.48165
1999-06-18,1495.489216
1999-06-21,1518.61694
1999-06-22,1528.902524
1999-06-23,1529.039936
1999-06-24,1517.032521
1999-06-25,1525.070925
1999-06-28,1529.347881
1999-06-29,1528.498804
1999-06-30,1516.325536
1999-07-01,1533.800194
1999-07-02,1568.995738
1999-07-05,1585.707493
1999-07-06,1579.209127
1999-07-07,1560.077133
1999-07-08,1565.230536
1999-07-09,1557.383489
1999-07-12,1547.113316
1999-07-13,1539.459684
1999-07-14,1523.115606
1999-07-15,1535.123803
1999-07-16,1515.045489
1999-07-19,1514.176333
1999-07-20,1531.117305
1999-07-21,1515.762496
1999-07-22,1502.468465
1999-07-23,1481.426327
1999-07-26,1462.344068
1999-07-27,1470.442565
1999-07-28,1488.402894
1999-07-29,1500.810937
1999-07-30,1499.714777
1999-08-02,1497.346859
1999-08-03,1513.728942
1999-08-04,1513.028574
1999-08-05,1493.497913
1999-08-06,1488.042773
1999-08-09,1475.007579
1999-08-10,1447.449991
1999-08-11,1425.467055
1999-08-12,1442.066337
1999-08-13,1434.286264
1999-08-16,1460.642845
1999-08-17,1438.625285
1999-08-18,1470.280333
1999-08-19,1477.893543
1999-08-20,1487.199975
1999-08-23,1501.42868
1999-08-24,1500.809325
1999-08-25,1486.773
1999-08-26,1494.822003
1999-08-27,1480.401207
1999-08-30,1484.130606
1999-08-31,1465.005037
1999-09-01,1483.263976
1999-09-02,1483.366187
1999-09-03,1466.890038
1999-09-06,1485.566532
1999-09-07,1490.943161
1999-09-08,1489.556873
1999-09-09,1528.771283
1999-09-10,1525.765952
1999-09-13,1528.972048
1999-09-14,1524.260297
1999-09-15,1489.311727
1999-09-16,1475.618212
1999-09-17,1489.535182
1999-09-20,1478.848994
1999-09-21,1475.856356
1999-09-22,1463.053243
1999-09-23,1466.952549
1999-09-24,1451.732325
1999-09-27,1444.935939
1999-09-28,1453.579165
1999-09-29,1448.978841
1999-09-30,1439.062305
1999-10-01,1454.272063
1999-10-04,1456.233181
1999-10-05,1478.038318
1999-10-06,1476.87125
1999-10-07,1484.286606
1999-10-08,1477.764395
1999-10-11,1478.021247
1999-10-12,1470.067128
1999-10-13,1449.287929
1999-10-14,1449.056294
1999-10-15,1424.547262
1999-10-18,1398.813272
1999-10-19,1390.892093
1999-10-20,1426.591475
1999-10-21,1431.827431
1999-10-22,1455.380193
1999-10-25,1465.743266
1999-10-26,1449.059831
1999-10-27,1430.059295
1999-10-28,1445.549014
1999-10-29,1466.304982
1999-11-01,1472.925999
1999-11-02,1473.910324
1999-11-03,1481.516568
1999-11-04,1490.694876
1999-11-05,1480.49839
1999-11-08,1474.380152
1999-11-09,1475.226174
1999-11-10,1499.056131
1999-11-11,1518.30814
1999-11-12,1540.440508
1999-11-15,1558.406997
1999-11-16,1561.110711
1999-11-17,1568.960561
1999-11-18,1569.692497
1999-11-19,1596.721356
1999-11-22,1596.374672
1999-11-23,1595.746018
1999-11-24,1575.947029
1999-11-25,1568.429233
1999-11-26,1588.893353
1999-11-29,1595.189859
1999-11-30,1589.934775
1999-12-01,1594.987711
1999-12-02,1617.01658
1999-12-03,1630.064851
1999-12-06,1659.8435
1999-12-07,1660.64952
1999-12-08,1670.933612
1999-12-09,1698.808192
1999-12-10,1689.746051
1999-12-13,1689.13934
1999-12-14,1679.805947
1999-12-15,1655.396962
1999-12-16,1653.372756
1999-12-17,1678.948292
1999-12-20,1689.099134
1999-12-21,1681.246228
1999-12-22,1690.790757
1999-12-23,1692.364781
1999-12-24,1713.167753
1999-12-27,1712.056783
1999-12-28,1710.480725
1999-12-29,1704.598045
1999-12-30,1716.205878
1999-12-31,1716.205878
2000-01-03,1742.480219
2000-01-04,1719.30003
2000-01-05,1639.147876
2000-01-06,1598.929713
2000-01-07,1626.607305
2000-01-10,1653.586081
2000-01-11,1669.402152
2000-01-12,1653.884702
2000-01-13,1655.856263
2000-01-14,1669.60975
2000-01-17,1658.11267
2000-01-18,1666.67552
2000-01-19,1625.978831
2000-01-20,1649.246735
2000-01-21,1620.071524
2000-01-24,1603.446208
2000-01-25,1594.465851
2000-01-26,1607.09635
2000-01-27,1634.889616
2000-01-28,1620.559758
2000-01-31,1592.01692
2000-02-01,1590.332961
2000-02-02,1614.789587
2000-02-03,1617.092793
2000-02-04,1603.686181
2000-02-07,1608.827012
2000-02-08,1596.408358
2000-02-09,1615.438333
2000-02-10,1628.467499
2000-02-11,1660.272099
2000-02-14,1640.897582
2000-02-15,1618.582471
2000-02-16,1633.873074
2000-02-17,1635.274051
2000-02-18,1604.425119
2000-02-21,1584.914514
2000-02-22,1567.454918
2000-02-23,1577.150886
2000-02-24,1591.75066
2000-02-25,1597.918079
2000-02-28,1571.104134
2000-02-29,1585.160237
2000-03-01,1571.887296
2000-03-02,1577.07513
2000-03-03,1597.082632
2000-03-06,1613.109189
2000-03-07,1632.207882
2000-03-08,1632.447001
2000-03-09,1625.107292
2000-03-10,1643.477851
2000-03-13,1618.690313
2000-03-14,1598.420473
2000-03-15,1581.500855
2000-03-16,1569.463641
2000-03-17,1602.339389
2000-03-20,1600.302575
2000-03-21,1614.228051
2000-03-22,1628.843501
2000-03-23,1631.777911
2000-03-24,1638.507673
2000-03-27,1659.407778
2000-03-28,1661.573848
2000-03-29,1651.432005
2000-03-30,1622.951882
2000-03-31,1602.468344
2000-04-03,1595.167422
2000-04-04,1593.434451
2000-04-05,1579.414078
2000-04-06,1585.958786
2000-04-07,1594.110061
2000-04-10,1599.557044
2000-04-11,1577.870925
2000-04-12,1587.737137
2000-04-13,1564.248666
2000-04-14,1567.259554
2000-04-17,1450.617469
2000-04-18,1488.513587
2000-04-19,1511.73723
2000-04-20,1512.455524
2000-04-21,1512.455524
2000-04-24,1510.04159
2000-04-25,1513.256576
2000-04-26,1521.941632
2000-04-27,1529.137167
2000-04-28,1535.692148
2000-05-01,1529.753995
2000-05-02,1538.13563
2000-05-03,1530.566211
2000-05-04,1504.740909
2000-05-05,1514.708021
2000-05-08,1487.76346
2000-05-09,1468.874796
2000-05-10,1446.513019
2000-05-11,1430.743422
2000-05-12,1465.211782
2000-05-15,1451.691156
2000-05-16,1479.59716
2000-05-17,1456.690593
2000-05-18,1433.41179
2000-05-19,1436.042093
2000-05-22,1409.466243
2000-05-23,1416.219067
2000-05-24,1394.747776
2000-05-25,1388.431492
2000-05-26,1365.038447
2000-05-29,1375.637859
2000-05-30,1376.185283
2000-05-31,1394.284108
2000-06-01,1412.195919
2000-06-02,1451.063801
2000-06-05,1478.890042
2000-06-06,1495.140355
2000-06-07,1495.923192
2000-06-08,1496.891204
2000-06-09,1507.478007
2000-06-12,1514.554957
2000-06-13,1497.594832
2000-06-14,1511.654701
2000-06-15,1522.141628
2000-06-16,1544.053091
2000-06-19,1530.831159
2000-06-20,1525.084087
2000-06-21,1537.031241
2000-06-22,1528.562337
2000-06-23,1521.961062
2000-06-26,1526.1065
2000-06-27,1534.357194
2000-06-28,1546.073074
2000-06-29,1547.503562
2000-06-30,1558.550377
2000-07-03,1563.041694
2000-07-04,1565.422153
2000-07-05,1564.691464
2000-07-06,1559.288927
2000-07-07,1567.56156
2000-07-10,1590.588405
2000-07-11,1591.436519
2000-07-12,1603.783484
2000-07-13,1582.550961
2000-07-14,1586.059843
2000-07-17,1594.61464
2000-07-18,1583.202235
2000-07-19,1593.132671
2000-07-20,1599.747118
2000-07-21,1618.532544
2000-07-24,1602.302363
2000-07-25,1584.066702
2000-07-26,1593.352238
2000-07-27,1582.866617
2000-07-28,1568.181432
2000-07-31,1548.31334
2000-08-01,1553.244516
2000-08-02,1571.509303
2000-08-03,1572.948178
2000-08-04,1583.905015
2000-08-07,1600.711437
2000-08-08,1581.751572
2000-08-09,1575.947009
2000-08-10,1591.843917
2000-08-11,1584.455105
2000-08-14,1588.364354
2000-08-15,1604.902799
2000-08-16,1628.528223
2000-08-17,1633.546451
2000-08-18,1620.703933
2000-08-21,1622.918506
2000-08-22,1626.126846
2000-08-23,1607.039413
2000-08-24,1600.175477
2000-08-25,1594.823711
2000-08-28,1586.205945
2000-08-29,1589.467733
2000-08-30,1580.47859
2000-08-31,1568.046614
2000-09-01,1587.818512
2000-09-04,1608.959907
2000-09-05,1595.483058
2000-09-06,1578.356348
2000-09-07,1555.077563
2000-09-08,1550.821
2000-09-11,1541.785136
2000-09-12,1531.998284
2000-09-13,1530.17937
2000-09-14,1515.866839
2000-09-15,1503.235613
2000-09-18,1456.530143
2000-09-19,1459.067339
2000-09-20,1452.598419
2000-09-21,1434.977552
2000-09-22,1411.106365
2000-09-25,1440.760437
2000-09-26,1442.795443
2000-09-27,1452.402082
2000-09-28,1460.224084
2000-09-29,1466.826346
2000-10-02,1466.74207
2000-10-03,1469.239669
2000-10-04,1464.325686
2000-10-05,1460.972742
2000-10-06,1450.754065
2000-10-09,1424.040125
2000-10-10,1418.39061
2000-10-11,1404.887565
2000-10-12,1390.230116
2000-10-13,1375.034476
2000-10-16,1387.205458
