Date,Value,Open,High,Low,Vol.,Change %
04/16/2025,3329.51,3225.87,3333.06,3251.93,121.32K,2.39%
04/15/2025,3251.93,3225.87,3251.93,3209.36,121.32K,1.33%
04/14/2025,3209.28,3237.35,3245.84,3193.41,,-0.83%
04/11/2025,3236.21,3174.14,3245.69,3174.14,,1.96%
04/10/2025,3173.92,3083.75,3176.94,3071.03,,2.98%
04/09/2025,3082.18,2984.08,3099.87,2970.01,,3.30%
04/08/2025,2983.78,2983.39,3022.84,2974.45,,0.04%
04/07/2025,2982.54,3038.02,3055.88,2956.60,,-1.80%
04/04/2025,3037.36,3113.16,3137.10,3015.64,,-2.42%
04/03/2025,3112.83,3134.16,3168.04,3054.19,,-0.66%
04/02/2025,3133.57,3111.00,3140.36,3104.81,,0.74%
04/01/2025,3110.55,3123.36,3149.11,3100.85,,-0.40%
03/31/2025,3123.05,3086.54,3128.29,3076.62,,1.27%
03/28/2025,3084.03,3056.35,3086.93,3053.91,,0.91%
03/27/2025,3056.10,3019.56,3059.75,3017.26,,1.22%
03/26/2025,3019.29,3020.13,3032.23,3012.38,,-0.02%
03/25/2025,3019.85,3012.40,3035.94,3007.53,,0.25%
03/24/2025,3012.27,3023.03,3033.44,3002.34,,-0.38%
03/21/2025,3023.63,3042.60,3047.66,2999.46,,-0.68%
03/20/2025,3044.41,3046.31,3057.51,3025.56,,-0.09%
03/19/2025,3047.18,3032.20,3052.30,3022.73,,0.44%
03/18/2025,3033.95,2999.11,3038.45,2999.11,,1.08%
03/17/2025,3001.47,2985.80,3002.23,2982.13,,0.57%
03/14/2025,2984.42,2988.38,3005.08,2978.41,,-0.11%
03/13/2025,2987.75,2932.66,2989.64,2932.03,,1.90%
03/12/2025,2932.06,2916.85,2940.83,2906.19,,0.55%
03/11/2025,2916.04,2888.72,2922.22,2880.34,,0.92%
03/10/2025,2889.40,2912.17,2918.50,2880.30,,-0.73%
03/07/2025,2910.79,2910.48,2930.56,2896.71,,0.03%
03/06/2025,2909.99,2918.98,2926.88,2891.34,,-0.30%
03/05/2025,2918.84,2917.59,2929.94,2894.19,,0.05%
03/04/2025,2917.49,2894.05,2928.15,2881.81,,0.82%
03/03/2025,2893.71,2856.71,2895.45,2855.63,,1.23%
02/28/2025,2858.60,2877.66,2885.34,2832.63,,-0.61%
02/27/2025,2876.19,2916.80,2920.96,2867.86,,-1.37%
02/26/2025,2916.19,2915.42,2930.22,2890.99,,0.04%
02/25/2025,2915.12,2951.82,2954.44,2888.06,,-1.22%
02/24/2025,2951.19,2936.41,2956.37,2920.77,,0.52%
02/21/2025,2936.03,2939.00,2950.01,2916.70,,-0.09%
02/20/2025,2938.70,2932.81,2954.97,2924.20,,0.21%
02/19/2025,2932.64,2935.73,2947.23,2918.50,,-0.10%
02/18/2025,2935.58,2897.51,2937.46,2891.94,,1.31%
02/17/2025,2897.66,2883.55,2906.69,2887.20,,0.50%
02/14/2025,2883.18,2929.19,2940.23,2876.96,,-1.57%
02/13/2025,2929.03,2904.10,2929.74,2900.20,,0.87%
02/12/2025,2903.66,2898.90,2909.16,2864.01,,0.18%
02/11/2025,2898.34,2907.47,2943.25,2881.76,,-0.31%
02/10/2025,2907.34,2864.08,2911.60,2854.69,,1.64%
02/07/2025,2860.39,2856.60,2886.96,2852.55,,0.14%
02/06/2025,2856.50,2865.26,2873.74,2834.40,,-0.30%
02/05/2025,2865.09,2842.06,2882.53,2839.32,,0.81%
02/04/2025,2841.94,2814.80,2845.57,2806.90,,1.01%
02/03/2025,2813.49,2801.40,2831.70,2771.69,,0.45%
01/31/2025,2801.00,2794.04,2817.57,2790.78,,0.25%
01/30/2025,2793.88,2757.90,2798.80,2757.24,,1.31%
01/29/2025,2757.71,2763.48,2766.53,2744.71,,-0.20%
01/28/2025,2763.11,2742.57,2765.18,2734.68,,0.80%
01/27/2025,2741.10,2770.70,2773.02,2729.80,,-1.09%
01/24/2025,2771.30,2754.06,2786.04,2752.56,,0.64%
01/23/2025,2753.69,2755.96,2759.06,2735.85,,-0.05%
01/22/2025,2755.02,2745.08,2763.72,2741.83,121.32K,0.39%
01/21/2025,2744.39,2709.01,2746.88,2702.49,121.32K,1.34%
01/20/2025,2708.06,2702.51,2714.40,2689.32,121.32K,0.24%
01/17/2025,2701.55,2713.85,2717.73,2698.41,121.32K,-0.45%
01/16/2025,2713.77,2695.96,2724.86,2690.00,121.32K,0.67%
01/15/2025,2695.82,2677.29,2697.85,2669.04,121.32K,0.70%
01/14/2025,2677.16,2662.53,2678.44,2659.79,121.32K,0.56%
01/13/2025,2662.12,2689.35,2693.77,2656.73,121.32K,-1.02%
01/10/2025,2689.63,2670.74,2698.57,2663.65,121.32K,0.73%
01/09/2025,2670.19,2662.20,2675.42,2662.35,121.32K,0.31%
01/08/2025,2662.06,2649.85,2670.60,2645.03,121.32K,0.47%
01/07/2025,2649.49,2636.02,2664.54,2632.57,,0.54%
01/06/2025,2635.33,2641.00,2649.62,2614.60,,-0.14%
01/03/2025,2639.12,2657.29,2665.47,2636.40,,-0.68%
01/02/2025,2657.16,2626.60,2660.85,2621.51,,1.27%
12/31/2024,2623.81,2606.13,2627.85,2602.50,,0.71%
12/30/2024,2605.39,2620.30,2628.61,2595.90,,-0.56%
12/27/2024,2620.00,2634.59,2638.74,2611.30,,-0.55%
12/26/2024,2634.43,2619.79,2639.40,2614.13,,0.81%
12/24/2024,2613.20,2613.07,2621.83,2609.92,,0.01%
12/23/2024,2612.93,2622.24,2633.60,2607.97,,-0.30%
12/20/2024,2620.77,2593.97,2631.92,2589.56,,1.04%
12/19/2024,2593.85,2587.87,2626.73,2583.49,,0.24%
12/18/2024,2587.63,2645.68,2652.08,2586.52,,-2.19%
12/17/2024,2645.54,2652.63,2659.22,2633.00,,-0.26%
12/16/2024,2652.50,2649.10,2664.83,2643.34,,0.16%
12/13/2024,2648.39,2681.47,2693.02,2645.90,,-1.23%
12/12/2024,2681.33,2718.07,2726.31,2675.04,,-1.35%
12/11/2024,2717.93,2693.76,2721.35,2674.58,,0.90%
12/10/2024,2693.64,2658.82,2695.79,2657.95,,1.31%
12/09/2024,2658.78,2635.52,2676.52,2627.47,,0.98%
12/06/2024,2632.91,2632.18,2645.69,2613.57,,0.03%
